year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,109.7,0.0,0.0,2.6,4.0,0.0,26.5,0.0,1.0,6.5,0.0,0.1,0.1,20.4,0.0,18.0,30.5
2011,305.2,5.5,1.0,0.0,19.9,1.6,96.5,17.9,0.6,35.6,0.0,15.6,6.0,7.3,7.4,66.5,23.8
2012,305.3,14.5,14.9,6.3,7.9,0.0,117.4,23.9,3.3,8.4,0.0,7.2,7.9,4.9,1.0,11.1,76.6
2013,156.2,4.2,4.9,5.1,6.3,1.3,20.8,10.6,8.1,9.0,0.0,13.8,19.6,3.2,7.0,42.3,0.0
2014,307.7,79.8,13.7,4.7,27.2,0.6,16.8,0.1,14.5,11.0,2.1,69.7,15.0,4.0,43.5,4.0,1.0
2015,239.6,20.2,16.6,8.9,8.0,23.9,30.4,21.7,9.2,37.6,0.0,3.0,6.0,7.3,35.3,11.3,0.2
2016,27.3,0.0,4.4,3.0,0.0,0.0,3.8,2.9,1.8,0.3,0.0,0.4,0.1,0.0,0.0,10.6,0.0
2017,24.2,0.0,0.3,4.6,1.3,0.0,1.2,12.6,2.2,0.0,0.0,0.4,1.6,0.0,0.0,0.0,0.0
2018,43.3,0.0,8.0,0.0,0.0,0.0,1.0,0.7,0.0,32.7,0.0,0.8,0.1,0.0,0.0,0.0,0.0
2019,25.4,0.3,0.0,0.0,0.0,0.0,5.4,1.0,0.0,7.7,0.0,2.1,0.8,2.6,0.0,1.1,4.4
2020,69.4,13.1,0.0,4.3,0.0,0.0,5.0,6.9,0.3,34.4,0.0,0.0,1.1,2.6,0.1,1.5,0.1
2021,63.7,3.4,0.0,0.0,0.0,0.0,20.5,8.4,0.0,25.5,0.0,4.0,1.9,0.0,0.0,0.0,0.0
2022,49.5,10.6,0.0,0.0,0.0,0.0,21.4,2.5,1.9,1.7,0.0,0.0,0.0,5.0,0.0,0.0,6.4
2023,85.9,8.0,0.0,0.0,35.3,0.0,6.1,7.4,0.0,0.0,0.0,1.5,1.0,0.0,7.9,17.1,1.6
2024,29.8,0.0,0.0,0.0,5.9,0.0,0.0,6.4,0.0,5.4,0.0,0.4,0.0,0.0,0.0,0.0,11.7
