year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,1798,129,77,90,58,98,132,188,50,98,58,118,247,64,74,242,76
2011,1936,150,74,89,60,112,144,198,56,111,60,128,272,62,76,256,88
2012,1952,156,80,94,60,111,146,181,63,103,61,119,286,65,75,263,89
2013,2015,155,96,99,62,105,145,174,69,111,71,124,286,79,86,260,93
2014,1956,162,93,90,58,107,140,176,76,113,60,123,281,72,73,242,90
2015,1908,157,92,85,56,108,141,170,82,114,60,98,272,80,76,240,77
2016,1879,159,92,79,55,111,139,165,83,114,53,103,271,76,75,232,72
2017,1914,170,103,77,56,110,142,165,83,114,54,101,284,76,75,232,72
2018,1941,171,111,78,55,118,148,167,88,111,53,97,287,86,73,232,66
2019,1928,166,110,76,56,127,130,168,86,118,53,94,295,87,79,211,72
2020,1809,162,101,74,51,112,125,158,82,107,51,92,278,78,77,194,67
2021,1836,159,101,73,54,116,129,160,84,98,60,97,298,79,77,187,64
2022,2256,227,112,86,64,150,154,222,93,110,68,124,351,85,93,232,85
2023,2180,214,110,77,58,132,151,215,91,103,61,123,384,82,90,217,72
2024,2183,220,107,81,64,130,147,249,96,94,75,139,348,75,78,201,79
