REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,2825125,2826917,2828461,2965264,3093063,3148947,3152509,3192560,3152090,3099920,2758775,3058325,3070083,2780277
Dolnośląskie,274098,264543,273085,297764,304815,304809,296485,300731,286654,279637,249652,263423,264596,236487
Kujawsko-Pomorskie,170018,170924,172179,157793,185402,187612,183777,184143,186485,181068,160650,182486,181754,164271
Lubelskie,180808,171263,169631,175237,179875,185442,191168,193429,192039,181797,155879,167564,166202,151415
Lubuskie,75643,76988,76722,80880,82650,85184,79167,78256,71235,78650,72847,84729,85687,85413
Łódzkie,205087,217623,198173,218166,217056,212133,207863,205223,204607,211170,190515,204446,201825,174902
Małopolskie,207344,215494,214964,211706,221441,224701,231577,233568,236593,238043,203608,234222,245341,231909
Mazowieckie,416366,409931,400544,440031,460081,465932,471944,477452,458232,446283,385342,422770,434942,384368
Opolskie,65781,62660,63940,62117,64012,65929,68038,71490,73463,71985,65411,70963,72655,67255
Podkarpackie,115402,131615,135503,135861,140345,141329,142703,143188,140995,140974,131472,144768,141422,123633
Podlaskie,93495,87542,83933,89328,90670,90926,88769,83528,85067,78230,69323,79015,74860,68883
Pomorskie,136573,143600,152700,158133,158743,167496,163004,166901,166094,165208,148878,165955,175803,164661
Śląskie,362132,346255,344629,358921,389235,408636,404806,418530,410912,409385,370962,415056,412020,367383
Świętokrzyskie,98601,103817,105588,111398,119121,120237,124131,129970,130490,125663,109140,112176,109335,107423
Warmińsko-Mazurskie,108031,105610,110688,119852,127262,132077,131549,127550,127813,121878,111404,130689,121282,107752
Wielkopolskie,173367,176791,185585,188479,181908,181968,191389,201519,199505,193207,173463,205088,212886,194498
Zachodniopomorskie,142379,142261,140597,159598,170447,174536,176139,177082,181906,176742,160229,174975,169473,150024
