year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
2010,3.18,3.83,3.06,2.64,3.28,1.95,2.52,3.26,2.89,1.99,2.64,3.51,4.27,2.01,1.83,4.10,4.50,,4.98,4.89,5.12,3.93,3.03,5.07,4.52,5.37,4.77,4.40,4.75,5.22,4.37,3.02,5.78,6.04,,1.14,0.25,0.49,2.16,0.05,0.06,1.00,0.16,0.03,0.00,1.10,0.94,0.08,0.09,1.97,1.12
2011,3.27,3.88,3.07,3.27,3.28,1.96,2.49,3.27,2.91,2.09,2.87,3.87,4.36,2.02,1.89,4.14,4.55,,5.07,4.92,6.47,3.93,3.05,5.01,4.54,5.40,5.02,4.76,5.32,5.34,4.40,3.13,5.83,6.04,,1.14,0.25,0.50,2.16,0.05,0.06,1.00,0.18,0.03,0.00,1.09,0.94,0.08,0.09,2.01,1.26
2012,3.48,3.93,3.08,3.32,3.26,3.46,2.50,3.59,2.92,2.09,3.25,3.96,4.62,2.07,2.03,4.15,4.58,,5.16,4.95,6.56,3.91,5.42,5.02,5.04,5.43,5.02,5.38,5.34,5.67,4.52,3.30,5.88,6.07,,1.13,0.25,0.52,2.15,0.05,0.08,0.99,0.18,0.03,0.00,1.35,0.96,0.08,0.17,2.00,1.29
2013,3.53,3.94,3.12,3.82,3.27,3.51,2.49,3.60,2.94,2.30,3.48,3.96,4.62,2.09,2.05,4.00,4.68,,5.18,5.03,7.64,3.93,5.45,5.03,5.05,5.47,5.53,5.75,5.37,5.69,4.56,3.33,5.62,6.23,,1.12,0.25,0.52,2.14,0.16,0.08,0.99,0.19,0.03,0.00,1.33,0.95,0.08,0.20,2.00,1.29
2014,3.78,4.07,3.13,3.98,3.68,3.60,2.50,3.78,2.95,2.30,3.54,4.07,4.73,2.09,2.06,5.85,4.71,,5.38,5.06,7.93,4.39,5.60,5.06,5.33,5.50,5.52,5.86,5.56,5.84,4.60,3.34,9.00,6.26,,1.12,0.26,0.59,2.47,0.16,0.08,1.00,0.19,0.03,0.00,1.32,0.95,0.08,0.20,1.99,1.32
2015,3.88,4.17,3.23,4.08,3.74,3.77,2.50,3.82,2.97,2.49,3.31,4.16,5.17,2.11,2.17,5.87,4.57,,5.53,5.24,8.14,4.34,5.66,5.07,5.34,5.54,5.98,5.46,5.70,6.42,4.62,3.53,9.08,5.64,,1.13,0.26,0.60,2.61,0.56,0.08,1.10,0.19,0.04,0.00,1.37,0.95,0.08,0.20,1.98,2.23
2016,4.00,4.18,3.30,4.16,3.75,3.80,2.52,3.95,2.98,2.57,3.57,4.20,5.68,2.12,2.17,5.94,4.65,,5.55,5.37,8.28,4.37,5.70,5.09,5.53,5.56,6.18,5.88,5.78,7.10,4.65,3.54,9.13,5.77,,1.13,0.26,0.60,2.61,0.56,0.11,1.09,0.20,0.04,0.01,1.36,0.93,0.09,0.20,2.10,2.23
2017,4.08,4.21,3.33,4.24,3.75,4.61,2.56,4.18,2.99,2.59,3.41,4.20,5.58,2.13,2.20,5.96,4.75,,5.62,5.43,8.42,4.37,7.00,5.17,5.90,5.49,6.23,5.61,5.81,6.97,4.70,3.58,9.18,5.88,,1.13,0.26,0.60,2.61,0.57,0.11,1.09,0.20,0.04,0.01,1.36,0.99,0.06,0.21,2.09,2.28
2018,4.20,4.26,3.36,4.22,3.76,4.52,2.55,4.59,3.01,2.60,3.55,4.21,5.63,2.15,3.04,5.96,5.14,,5.67,5.50,8.38,4.38,6.89,5.17,6.40,5.47,6.28,5.84,5.85,7.04,4.71,5.01,9.24,6.45,,1.18,0.26,0.61,2.62,0.57,0.11,1.31,0.21,0.04,0.01,1.34,0.99,0.07,0.21,2.08,2.28
