REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,,17,17,18,19,19
Dolnośląskie,,,,,,,,,,,18,19,20,21,21
Kujawsko-Pomorskie,,,,,,,,,,,17,17,18,19,18
Lubelskie,,,,,,,,,,,14,14,15,15,15
Lubuskie,,,,,,,,,,,19,19,20,23,23
Łódzkie,,,,,,,,,,,16,16,17,18,17
Małopolskie,,,,,,,,,,,18,19,19,19,19
Mazowieckie,,,,,,,,,,,17,16,17,18,17
Opolskie,,,,,,,,,,,18,19,21,22,22
Podkarpackie,,,,,,,,,,,14,14,14,15,14
Podlaskie,,,,,,,,,,,13,13,13,14,13
Pomorskie,,,,,,,,,,,22,23,22,23,23
Śląskie,,,,,,,,,,,16,16,17,18,17
Świętokrzyskie,,,,,,,,,,,16,16,16,17,16
Warmińsko-Mazurskie,,,,,,,,,,,17,18,18,20,20
Wielkopolskie,,,,,,,,,,,20,21,22,23,23
Zachodniopomorskie,,,,,,,,,,,16,17,17,18,18
