REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,21.4,23.3,26.4,27.4,30.5,33.5,34.0,37.8,38.8,42.4,43.1,47.6,55.4,57.3
Dolnośląskie,,17.0,16.5,20.6,24.1,24.8,22.5,31.6,41.8,42.5,47.0,58.7,62.9,64.5,58.6
Kujawsko-Pomorskie,,21.3,22.8,26.1,25.8,31.1,32.9,33.3,37.9,37.9,43.4,55.2,60.7,63.0,56.0
Lubelskie,,33.8,24.1,35.6,33.7,36.8,43.7,35.2,41.2,45.3,43.2,47.4,51.5,51.6,60.9
Lubuskie,,19.7,18.1,25.0,34.0,34.7,45.8,33.6,48.1,51.1,56.3,51.4,53.5,53.5,48.0
Łódzkie,,23.6,26.4,24.8,26.1,28.1,28.3,29.5,33.3,36.3,36.0,39.1,45.5,51.5,58.9
Małopolskie,,17.1,18.1,19.9,19.4,24.0,29.0,34.8,41.5,58.2,62.3,43.1,51.7,56.4,64.6
Mazowieckie,,22.1,16.9,19.4,25.4,31.0,42.8,44.6,50.3,46.8,54.7,59.5,69.6,68.6,59.3
Opolskie,,20.2,24.8,27.8,25.3,27.6,29.1,30.0,41.2,39.6,50.0,44.3,60.3,65.5,60.0
Podkarpackie,,15.9,19.4,35.3,38.7,38.7,34.7,38.8,51.7,42.4,48.8,41.1,45.7,57.3,59.8
Podlaskie,,35.2,27.5,28.2,31.1,37.5,38.3,37.7,39.7,34.2,32.1,26.9,30.6,38.8,57.7
Pomorskie,,27.8,38.1,41.5,41.0,42.7,48.1,40.2,39.1,43.8,46.9,44.6,55.6,60.4,54.0
Śląskie,,19.4,29.0,29.6,25.9,30.2,32.9,31.6,38.9,34.8,41.6,44.0,49.8,54.5,49.4
Świętokrzyskie,,17.4,25.9,26.0,20.5,25.3,22.0,27.4,18.8,24.3,28.8,32.3,34.7,60.5,56.0
Warmińsko-Mazurskie,,22.2,29.8,29.5,28.6,24.4,31.5,40.2,39.3,37.2,43.4,47.5,51.9,56.4,57.8
Wielkopolskie,,25.2,26.7,30.3,31.0,33.3,36.3,36.9,36.9,36.0,34.6,37.7,39.6,40.9,43.3
Zachodniopomorskie,,8.8,12.1,15.9,19.6,22.1,21.7,21.7,21.9,20.6,19.1,31.9,25.5,51.4,72.8
