REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Polska,2.4,2.03,2.26,2.01,2.2,2.42,2.09,2.06,1.7,1.67,1.64,1.56,1.8
Dolnośląskie,1.82,1.55,x,2.61,2.51,2.67,2.28,1.72,0.97,1.57,1.37,1.68,1.68
Kujawsko-Pomorskie,1.73,1.08,x,x,1.67,1.42,1.16,1.15,0.91,0.83,1.16,1.05,0.92
Lubelskie,1.04,0.96,1.39,0.81,0.95,0.88,0.87,0.83,x,0.78,0.91,0.86,1.0
Lubuskie,0.89,0.75,0.87,0.91,0.74,1.89,1.47,1.6,0.96,x,0.64,0.68,0.56
Łódzkie,x,2.45,2.49,1.8,3.24,x,x,3.96,3.04,2.07,1.59,1.01,0.8
Małopolskie,1.24,1.2,1.61,1.78,1.6,1.87,2.61,2.28,2.17,2.45,2.43,2.25,2.22
Mazowieckie,4.68,3.71,4.58,3.37,3.33,x,2.51,3.19,2.44,2.26,2.53,2.5,3.17
Opolskie,0.93,1.23,x,1.07,0.74,0.83,x,1.0,1.24,0.79,0.55,0.51,0.78
Podkarpackie,1.83,2.26,2.3,x,3.45,2.74,2.37,2.05,x,2.4,2.48,2.19,2.1
Podlaskie,x,0.88,1.36,0.86,0.68,0.89,1.02,0.74,0.57,1.63,0.92,0.79,0.78
Pomorskie,2.91,1.74,1.32,x,1.98,2.03,2.13,2.16,1.79,1.78,1.51,1.76,1.94
Śląskie,2.51,2.2,1.94,1.72,1.99,1.82,1.69,1.54,1.48,1.6,1.4,1.22,1.52
Świętokrzyskie,0.98,1.03,2.15,x,0.59,0.97,0.67,1.03,x,x,0.46,0.44,0.38
Warmińsko-Mazurskie,0.89,0.75,x,0.58,0.67,1.17,0.46,0.58,0.61,0.68,0.61,0.76,1.02
Wielkopolskie,1.25,1.59,1.39,1.45,1.9,1.89,1.54,1.6,1.22,1.15,1.3,0.99,1.26
Zachodniopomorskie,1.07,1.12,1.72,1.5,1.61,2.4,1.06,1.05,0.76,0.57,0.51,0.56,0.97
