REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,5.37,3.39,3.29,4.59,6.71,7.95
Dolnośląskie,,,,,,,,,,3.09,1.40,1.62,2.91,3.64,5.45
Kujawsko-Pomorskie,,,,,,,,,,2.71,2.31,2.57,2.62,3.94,4.55
Lubelskie,,,,,,,,,,8.73,3.80,5.48,7.68,7.79,8.51
Lubuskie,,,,,,,,,,4.69,1.92,2.20,5.06,7.75,7.77
Łódzkie,,,,,,,,,,2.53,1.47,1.25,2.26,3.82,5.21
Małopolskie,,,,,,,,,,9.69,8.04,6.16,7.98,12.29,13.20
Mazowieckie,,,,,,,,,,4.12,1.89,1.92,2.90,4.91,6.98
Opolskie,,,,,,,,,,8.00,5.37,5.34,6.31,7.61,7.30
Podkarpackie,,,,,,,,,,6.59,5.04,4.09,5.89,9.24,9.13
Podlaskie,,,,,,,,,,10.77,7.82,6.23,8.12,9.60,13.42
Pomorskie,,,,,,,,,,6.90,3.81,4.51,6.28,8.24,9.19
Śląskie,,,,,,,,,,4.90,3.06,2.99,4.89,7.82,9.66
Świętokrzyskie,,,,,,,,,,2.69,1.76,2.26,2.67,5.15,5.35
Warmińsko-Mazurskie,,,,,,,,,,10.62,5.75,5.23,6.13,9.52,10.85
Wielkopolskie,,,,,,,,,,1.83,1.80,1.73,2.51,3.64,4.90
Zachodniopomorskie,,,,,,,,,,5.45,3.26,3.87,4.08,6.50,6.83
