REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Dolnośląskie,8.5,8.6,8.5,8.4,8.4,8.4,8.4,8.3,8.2,8.2,8.3,8.5,8.3,8.3,8.3
Kujawsko-Pomorskie,4.5,4.4,4.4,4.5,4.4,4.4,4.4,4.4,4.4,4.3,4.4,4.4,4.4,4.2,4.2
Lubelskie,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.7
Lubuskie,2.3,2.2,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1
Łódzkie,6.3,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.0,6.1,6.2,6.1,6.0,6.0,6.0
Małopolskie,7.6,7.7,7.7,7.7,7.8,7.9,7.9,8.0,8.1,8.1,8.1,8.2,8.0,8.1,8.1
Mazowieckie,21.5,21.6,21.8,22.0,22.0,22.1,22.1,22.3,22.5,22.8,22.9,22.6,23.1,23.8,23.9
Opolskie,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Podkarpackie,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.9,3.7,3.8,3.9
Podlaskie,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.3
Pomorskie,5.6,5.6,5.8,5.7,5.7,5.7,5.8,5.8,5.9,5.9,5.8,6.0,6.2,6.0,6.0
Śląskie,12.8,12.8,12.6,12.4,12.3,12.3,12.3,12.2,12.2,12.0,11.6,11.9,12.1,11.9,11.5
Świętokrzyskie,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.3,2.3
Warmińsko-Mazurskie,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.5,2.6,2.6,2.5,2.5,2.5
Wielkopolskie,9.4,9.4,9.5,9.7,9.7,9.8,9.9,9.9,9.8,9.9,10.0,9.9,9.8,9.8,9.8
Zachodniopomorskie,3.8,3.8,3.8,3.7,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.5
