year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,472,577,403,466,258,452,635,614,392,345,441,471,391,357,344,476,416
2011,451,549,390,443,233,427,622,581,375,333,424,459,368,331,321,462,392
2012,435,532,366,430,208,403,605,589,343,317,391,465,344,302,307,442,363
2013,402,487,332,398,186,367,564,554,308,295,352,444,314,266,272,413,336
2014,382,470,312,382,176,349,545,530,278,279,322,426,294,239,246,391,308
2015,365,457,297,366,162,330,524,515,253,264,300,414,277,214,229,382,283
2016,351,449,285,350,147,319,500,503,230,247,288,401,264,198,211,365,265
2017,336,428,285,341,139,313,465,481,222,233,266,371,260,203,202,351,246
2018,320,415,272,330,131,287,442,457,216,220,252,358,253,183,190,331,232
2019,313,405,261,325,125,283,426,452,216,216,245,354,250,163,182,328,222
2020,319,403,267,334,126,291,427,453,223,219,245,366,259,163,177,337,225
2021,321,402,268,330,125,297,429,462,222,218,251,369,264,166,173,330,220
2022,324,398,279,327,121,291,431,481,229,214,250,379,267,163,166,326,214
2023,330,402,283,325,119,296,443,514,223,214,251,387,268,156,165,320,220
2024,341,436,286,337,127,293,457,516,233,221,262,403,282,166,173,324,229
