REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,109.7,305.2,305.3,156.2,307.7,239.6,27.3,24.2,43.3,25.4,69.4,63.7,49.5,85.9,29.8
Dolnośląskie,0.0,5.5,14.5,4.2,79.8,20.2,0.0,0.0,0.0,0.3,13.1,3.4,10.6,8.0,0.0
Kujawsko-Pomorskie,0.0,1.0,14.9,4.9,13.7,16.6,4.4,0.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Lubelskie,2.6,0.0,6.3,5.1,4.7,8.9,3.0,4.6,0.0,0.0,4.3,0.0,0.0,0.0,0.0
Lubuskie,4.0,19.9,7.9,6.3,27.2,8.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,35.3,5.9
Łódzkie,0.0,1.6,0.0,1.3,0.6,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Małopolskie,26.5,96.5,117.4,20.8,16.8,30.4,3.8,1.2,1.0,5.4,5.0,20.5,21.4,6.1,0.0
Mazowieckie,0.0,17.9,23.9,10.6,0.1,21.7,2.9,12.6,0.7,1.0,6.9,8.4,2.5,7.4,6.4
Opolskie,1.0,0.6,3.3,8.1,14.5,9.2,1.8,2.2,0.0,0.0,0.3,0.0,1.9,0.0,0.0
Podkarpackie,6.5,35.6,8.4,9.0,11.0,37.6,0.3,0.0,32.7,7.7,34.4,25.5,1.7,0.0,5.4
Podlaskie,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pomorskie,0.1,15.6,7.2,13.8,69.7,3.0,0.4,0.4,0.8,2.1,0.0,4.0,0.0,1.5,0.4
Śląskie,0.1,6.0,7.9,19.6,15.0,6.0,0.1,1.6,0.1,0.8,1.1,1.9,0.0,1.0,0.0
Świętokrzyskie,20.4,7.3,4.9,3.2,4.0,7.3,0.0,0.0,0.0,2.6,2.6,0.0,5.0,0.0,0.0
Warmińsko-Mazurskie,0.0,7.4,1.0,7.0,43.5,35.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,7.9,0.0
Wielkopolskie,18.0,66.5,11.1,42.3,4.0,11.3,10.6,0.0,0.0,1.1,1.5,0.0,0.0,17.1,0.0
Zachodniopomorskie,30.5,23.8,76.6,0.0,1.0,0.2,0.0,0.0,0.0,4.4,0.1,0.0,6.4,1.6,11.7
