REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,1.4,3.0,3.8,8.2,8.2,10.0,11.2,13.1,13.6,12.5,8.3,7.8,12.4,10.0
Dolnośląskie,2.0,3.4,2.3,5.9,5.0,6.9,6.6,8.6,9.1,8.7,6.3,5.2,8.0,6.8
Kujawsko-Pomorskie,0.7,1.1,0.9,5.1,9.9,12.1,13.4,14.1,15.2,12.2,9.0,9.4,14.8,9.6
Lubelskie,0.4,1.1,0.9,3.8,3.3,3.7,4.7,5.6,6.5,8.0,6.0,4.2,8.0,7.6
Lubuskie,0.3,0.6,0.2,2.5,1.8,3.4,5.8,6.6,6.4,5.4,3.1,2.2,6.3,6.9
Łódzkie,1.5,3.1,3.2,8.0,6.0,7.4,9.6,11.0,10.5,8.6,6.8,5.1,7.4,6.5
Małopolskie,1.5,4.3,6.2,11.0,10.6,11.8,12.6,14.6,15.3,14.0,7.9,7.2,11.2,10.3
Mazowieckie,2.7,4.9,5.3,8.6,10.7,12.7,15.1,18.1,18.7,16.0,10.2,10.2,15.0,12.0
Opolskie,2.6,3.1,2.3,5.5,3.3,6.5,5.3,6.9,7.4,5.7,4.0,4.1,6.3,4.5
Podkarpackie,0.7,2.2,1.2,3.3,2.4,2.7,3.3,4.0,3.8,3.7,3.0,1.8,3.3,4.2
Podlaskie,1.5,2.7,3.0,7.9,5.4,6.2,9.1,10.3,8.9,7.2,5.3,4.3,7.2,7.5
Pomorskie,1.0,2.2,13.6,32.9,30.9,34.9,36.7,37.8,37.6,36.0,21.8,24.5,36.2,22.1
Śląskie,0.9,2.2,2.3,4.8,4.8,6.3,6.3,10.1,10.9,10.0,7.0,6.6,12.0,11.1
Świętokrzyskie,0.0,0.4,0.5,3.6,2.4,5.1,7.1,6.6,8.6,8.4,4.5,4.7,8.2,8.1
Warmińsko-Mazurskie,1.0,2.3,1.4,3.5,2.2,3.2,5.4,5.9,6.6,5.9,5.2,3.8,7.8,6.8
Wielkopolskie,2.4,5.9,6.8,11.3,12.2,15.7,17.4,19.9,20.8,20.6,13.6,13.1,20.2,15.0
Zachodniopomorskie,0.7,1.3,1.2,3.7,3.3,4.3,4.5,5.9,6.6,5.2,3.2,1.9,4.1,4.3
