REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,81.0,75.0,80.0,81.0,71.0,74.0,79.0,78.5,79.7,80.5,74.0,74.5,78.2,,84.1
Dolnośląskie,82.0,75.0,80.0,81.0,69.0,73.0,77.0,76.1,77.1,78.7,72.3,71.6,74.8,,82.6
Kujawsko-Pomorskie,83.0,75.0,80.0,82.0,71.0,73.0,79.0,78.0,78.2,78.3,71.4,70.1,76.1,,82.8
Lubelskie,80.0,74.0,80.0,80.0,70.0,73.0,79.0,77.8,79.3,80.1,71.6,73.1,77.1,,83.1
Lubuskie,82.0,77.0,82.0,83.0,74.0,76.0,82.0,79.8,79.7,79.5,72.2,72.2,77.2,,83.1
Łódzkie,82.0,76.0,80.0,81.0,71.0,74.0,80.0,79.5,79.3,79.9,72.5,72.8,77.0,,83.4
Małopolskie,83.0,77.0,82.0,84.0,73.0,77.0,82.0,82.6,83.2,84.8,77.9,78.1,82.1,,87.0
Mazowieckie,82.0,76.0,81.0,81.0,71.0,75.0,82.0,80.3,81.2,81.9,76.7,79.2,81.8,,85.5
Opolskie,82.0,75.0,80.0,81.0,70.0,75.0,79.0,77.6,78.4,80.3,73.6,72.9,76.5,,81.0
Podkarpackie,81.0,75.0,80.0,81.0,71.0,75.0,80.0,77.9,80.6,81.0,75.2,74.7,78.8,,84.1
Podlaskie,81.0,77.0,82.0,82.0,73.0,75.0,81.0,80.4,81.2,83.8,75.8,81.5,76.2,,82.4
Pomorskie,82.0,75.0,80.0,81.0,71.0,73.0,79.0,78.1,77.4,78.6,72.0,71.5,76.3,,83.1
Śląskie,82.0,76.0,81.0,82.0,71.0,76.0,78.0,77.3,79.2,79.8,73.7,72.8,77.7,,84.3
Świętokrzyskie,80.0,76.0,78.0,79.0,71.0,75.0,80.0,78.3,80.0,79.9,73.4,74.5,77.9,,85.8
Warmińsko-Mazurskie,80.0,73.0,78.0,80.0,68.0,71.0,76.0,74.1,77.4,77.3,69.1,71.6,75.6,,84.4
Wielkopolskie,81.0,75.0,80.0,81.0,70.0,73.0,78.0,78.0,79.3,80.5,73.9,74.2,77.8,,83.0
Zachodniopomorskie,80.0,73.0,78.0,79.0,67.0,70.0,76.0,74.2,76.8,77.0,70.8,70.0,75.7,,82.7
