year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,1575,1729,1371,1191,1577,1425,1561,2035,1486,1123,1201,1771,1495,1332,1252,1680,1944
2011,1564,1721,1364,1181,1561,1424,1560,2019,1471,1111,1200,1760,1479,1306,1236,1689,1904
2012,1616,1785,1399,1217,1621,1474,1616,2097,1501,1140,1241,1813,1527,1342,1272,1748,1941
2013,1667,1861,1435,1255,1671,1517,1656,2184,1539,1178,1271,1868,1569,1377,1306,1803,1982
2014,1700,1901,1453,1280,1692,1545,1686,2246,1556,1203,1302,1908,1594,1394,1330,1845,2004
2015,1743,1958,1478,1304,1732,1578,1728,2334,1580,1228,1324,1962,1629,1416,1350,1884,2044
2016,1783,2007,1498,1324,1760,1612,1770,2418,1598,1254,1343,2011,1657,1440,1370,1922,2077
2017,1833,2077,1527,1365,1800,1654,1822,2501,1622,1287,1374,2074,1692,1474,1399,1973,2126
2018,1876,2141,1561,1410,1831,1690,1887,2538,1650,1325,1414,2108,1728,1515,1438,2025,2164
2019,1959,2209,1627,1463,1920,1763,1984,2672,1712,1386,1468,2193,1788,1577,1514,2120,2238
2020,2061,2284,1739,1595,2048,1866,2060,2715,1830,1493,1583,2264,1898,1713,1641,2201,2378
2021,2160,2397,1813,1674,2147,1954,2164,2854,1904,1574,1659,2374,1988,1799,1719,2297,2472
2022,2253,2517,1867,1752,2221,2035,2263,2994,1973,1642,1736,2476,2063,1870,1781,2381,2557
2023,2342,2622,1930,1820,2302,2106,2361,3134,2038,1705,1814,2577,2133,1932,1845,2459,2639
2024,2429,2724,1995,1883,2388,2176,2459,3264,2102,1762,1880,2668,2205,2002,1903,2542,2714
