REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,62.0,63.5,64.3,65.1,68.7,69.7,70.2,70.5,70.8,71.2,71.6,71.9,72.3,72.6,72.9
Dolnośląskie,68.1,69.3,70.1,70.8,75.0,75.7,76.3,76.6,76.5,76.9,77.0,77.4,77.6,77.7,78.0
Kujawsko-Pomorskie,64.3,65.2,65.6,66.1,69.1,69.6,69.9,70.0,70.0,70.2,70.4,70.5,70.6,70.8,70.8
Lubelskie,47.2,48.5,49.3,49.7,51.5,52.1,52.5,52.6,52.9,53.5,53.8,53.9,54.2,54.5,55.1
Lubuskie,63.3,64.4,64.9,65.5,70.4,72.7,73.5,73.8,74.1,74.3,74.7,74.9,75.1,75.3,75.6
Łódzkie,58.8,59.8,60.4,60.9,62.6,63.4,63.7,63.9,64.0,64.3,64.3,64.6,64.7,64.8,65.0
Małopolskie,52.7,54.5,55.1,56.0,59.8,61.4,62.6,63.0,63.3,63.9,64.6,65.2,65.7,66.2,66.8
Mazowieckie,61.5,63.1,63.7,64.7,66.7,67.5,68.1,68.9,69.4,69.8,70.5,70.9,71.2,71.5,71.8
Opolskie,59.2,60.8,61.8,63.3,69.7,71.6,72.3,72.7,73.0,73.6,73.5,73.8,74.0,74.1,74.5
Podkarpackie,56.9,60.7,61.5,62.6,68.7,69.3,69.7,69.8,70.4,71.1,71.8,72.4,72.9,73.5,74.1
Podlaskie,60.0,61.0,61.5,62.1,63.2,63.6,64.1,64.3,64.5,64.8,65.4,65.7,65.9,66.4,66.8
Pomorskie,75.4,76.5,77.2,77.9,82.0,82.7,82.9,83.1,83.1,83.7,84.0,84.2,84.5,84.7,85.0
Śląskie,69.0,70.1,70.9,71.5,75.8,77.3,77.8,78.0,78.3,78.6,78.7,79.0,79.5,79.8,80.0
Świętokrzyskie,47.4,50.0,51.5,52.5,56.1,57.9,58.8,58.7,59.0,59.4,59.7,60.3,60.8,61.3,61.9
Warmińsko-Mazurskie,65.8,66.8,67.7,68.3,73.4,74.0,74.3,74.2,74.4,74.6,75.2,75.4,75.6,75.9,76.0
Wielkopolskie,61.0,62.6,63.9,64.6,69.7,70.6,71.4,71.8,72.1,72.2,73.0,73.4,74.1,74.5,74.8
Zachodniopomorskie,74.8,76.0,77.0,77.5,80.4,80.6,80.8,81.0,80.4,80.6,80.6,80.8,81.1,81.3,81.5
