REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Łódzkie,budowa i modernizacja stacji uzdatniania wody,4.72,3.07,6.42,8.38,5.67,7.52,5.24,10.08,9.65,5.41,11.04,7.52,14.63,0.00,37.49
Małopolskie,budowa i modernizacja stacji uzdatniania wody,5.98,4.10,7.73,4.01,8.03,6.66,3.76,1.06,4.26,4.10,4.05,3.39,9.75,9.19,12.24
Mazowieckie,budowa i modernizacja stacji uzdatniania wody,44.88,11.20,12.23,12.92,35.01,34.23,13.02,14.64,20.05,20.55,25.39,27.69,43.29,47.71,41.26
Opolskie,budowa i modernizacja stacji uzdatniania wody,3.17,8.41,7.49,12.47,5.08,13.46,2.17,2.25,10.98,3.84,11.32,9.34,6.91,11.09,16.63
Podkarpackie,budowa i modernizacja stacji uzdatniania wody,10.58,12.00,22.58,31.13,11.92,8.15,7.43,4.37,4.68,36.51,16.06,15.12,15.89,0.00,0.00
Podlaskie,budowa i modernizacja stacji uzdatniania wody,32.15,15.90,7.10,9.24,12.85,8.72,0.32,2.32,34.55,40.76,14.51,28.27,37.56,45.01,54.37
Pomorskie,budowa i modernizacja stacji uzdatniania wody,45.68,21.19,7.24,23.23,11.13,9.23,3.08,4.61,13.74,14.48,6.27,7.87,8.07,21.68,20.51
Śląskie,budowa i modernizacja stacji uzdatniania wody,2.53,2.31,6.75,11.91,5.56,1.86,2.58,6.93,5.66,2.94,3.12,3.96,6.34,5.59,9.95
Świętokrzyskie,budowa i modernizacja stacji uzdatniania wody,1.07,0.00,0.64,5.42,7.73,1.61,1.12,1.41,0.15,2.20,7.69,5.16,2.10,0.00,12.73
Warmińsko-Mazurskie,budowa i modernizacja stacji uzdatniania wody,12.02,17.77,8.25,2.62,4.85,11.22,3.99,4.39,14.06,18.12,7.94,14.87,13.22,46.96,0.00
Wielkopolskie,budowa i modernizacja stacji uzdatniania wody,14.73,27.30,16.20,18.07,44.55,23.55,6.53,6.03,11.16,14.26,7.32,13.26,26.85,52.85,43.99
Zachodniopomorskie,budowa i modernizacja stacji uzdatniania wody,5.92,3.56,8.22,2.56,10.43,8.90,0.64,2.95,12.27,11.43,13.01,5.79,12.52,0.00,30.10
