REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,5.57,5.69,5.58,5.61,5.39,5.46,5.45,5.53,5.52,5.14,4.85,5.49,5.36,4.56,4.45
Dolnośląskie,5.58,5.44,5.48,5.23,4.62,4.40,4.40,4.13,4.06,3.52,3.53,5.20,5.54,4.56,4.29
Kujawsko-Pomorskie,3.31,3.33,4.00,3.77,3.85,3.99,4.45,4.67,4.74,4.67,4.85,4.91,4.71,4.55,4.36
Lubelskie,2.37,2.55,2.44,2.18,2.30,2.32,2.38,2.37,2.39,2.35,2.38,2.40,2.84,2.41,2.53
Lubuskie,2.01,2.02,1.98,1.94,1.95,1.94,2.14,2.15,2.20,3.27,2.06,2.36,2.08,2.07,2.04
Łódzkie,13.96,15.67,16.09,17.00,16.62,16.86,16.12,17.38,17.69,15.49,14.60,16.20,17.06,13.30,13.77
Małopolskie,3.11,3.24,3.12,3.24,3.01,3.19,2.96,3.20,3.06,2.62,2.02,2.21,2.05,1.83,1.68
Mazowieckie,5.58,5.39,5.23,5.37,5.31,5.32,5.36,5.41,5.85,6.00,5.54,6.05,6.04,5.14,4.95
Opolskie,13.42,13.69,12.38,12.06,12.97,12.34,12.40,12.94,15.01,13.98,16.90,18.43,16.40,15.74,13.87
Podkarpackie,1.76,1.73,1.57,1.51,1.18,1.43,1.31,1.32,1.30,1.35,1.19,1.01,0.89,0.87,0.75
Podlaskie,1.33,1.36,1.23,1.64,1.68,1.65,1.85,1.73,1.72,1.80,1.77,1.90,1.67,1.59,1.55
Pomorskie,2.86,3.02,3.00,2.83,2.78,2.86,2.94,2.87,2.88,2.83,2.76,2.86,2.74,2.57,2.51
Śląskie,9.21,9.23,8.69,8.79,7.95,8.30,8.31,8.55,7.84,7.03,6.47,8.02,7.33,6.11,6.11
Świętokrzyskie,10.31,10.76,9.89,9.02,9.48,9.88,11.12,10.85,12.22,10.98,9.24,12.26,12.70,10.59,10.79
Warmińsko-Mazurskie,1.05,0.95,1.04,1.09,1.00,1.00,1.10,1.15,1.16,1.20,1.10,1.24,1.17,1.05,0.99
Wielkopolskie,4.86,4.82,4.82,4.93,4.68,4.67,4.42,4.13,3.28,3.11,2.74,2.69,2.29,1.75,1.79
Zachodniopomorskie,5.28,5.34,5.34,5.49,5.15,5.00,4.92,4.52,4.16,3.66,4.04,3.98,3.60,3.51,3.19
