REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,53.6,54.0,54.5,54.7,55.2,55.3,55.6,56.0,56.0,56.2,56.2,58.2,58.4,58.7,58.5
Dolnośląskie,53.9,53.3,53.8,54.0,55.2,55.5,56.8,56.4,56.5,58.5,58.2,59.4,59.3,60.0,60.2
Kujawsko-Pomorskie,53.8,53.7,55.7,55.3,54.9,55.1,55.4,54.9,55.3,55.7,55.4,57.7,58.4,58.1,58.6
Lubelskie,52.9,53.8,54.1,53.9,54.5,54.7,53.8,53.9,54.7,53.4,53.8,56.4,57.1,56.5,56.3
Lubuskie,55.2,54.5,53.3,54.0,53.7,54.5,55.7,55.7,55.3,55.6,55.8,56.0,56.7,57.7,56.6
Łódzkie,54.6,55.4,55.2,56.2,57.0,56.2,56.1,57.2,57.3,55.4,56.0,57.9,59.1,58.4,56.9
Małopolskie,49.8,50.5,51.3,52.1,52.6,52.5,53.4,53.7,53.9,55.1,55.0,57.3,57.0,57.6,58.3
Mazowieckie,57.4,58.7,59.7,59.1,61.0,60.7,59.5,60.2,60.7,60.9,60.7,62.6,63.0,63.5,63.8
Opolskie,52.5,53.0,54.0,53.4,53.8,54.2,54.7,55.9,56.0,55.9,56.0,58.9,57.6,57.5,57.5
Podkarpackie,48.0,47.8,48.7,49.8,49.5,49.6,52.2,52.9,51.3,51.3,51.6,52.8,52.7,53.7,53.1
Podlaskie,52.6,53.5,54.1,54.2,54.7,54.1,55.2,55.6,56.0,55.5,55.7,57.9,58.5,58.6,57.2
Pomorskie,54.9,53.9,55.2,55.9,55.6,57.4,57.9,58.4,58.0,59.7,59.3,60.1,60.5,60.6,60.5
Śląskie,52.2,53.2,53.5,53.6,53.8,53.1,53.6,53.7,53.6,53.5,53.4,55.8,55.9,56.7,55.9
Świętokrzyskie,53.2,53.6,54.1,52.7,52.4,53.4,53.4,53.1,51.8,51.5,52.9,55.5,56.1,55.3,54.9
Warmińsko-Mazurskie,52.7,51.3,50.9,51.4,50.8,51.9,53.4,53.9,53.1,52.5,53.0,55.4,55.5,55.2,55.7
Wielkopolskie,57.0,56.7,56.9,57.5,57.4,57.5,58.0,59.1,59.0,59.0,58.0,60.9,60.6,60.5,59.9
Zachodniopomorskie,52.1,51.2,51.8,52.4,52.7,52.1,53.5,53.6,55.0,54.7,55.0,56.0,56.8,57.3,57.1
