REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,119.2,129.1,125.8,133.0,132.9,123.2,130.3,140.2,141.6,129.7,130.5,,,121.9
Dolnośląskie,147.1,163.7,151.5,160.3,168.9,159.0,165.0,174.4,174.5,156.8,157.5,,,139.4
Kujawsko-Pomorskie,155.7,169.2,169.1,174.3,166.2,183.9,179.3,201.4,190.5,171.7,172.1,,,169.6
Lubelskie,106.0,116.6,123.0,133.6,140.4,127.3,132.0,165.8,163.3,152.3,138.2,,,139.4
Lubuskie,98.7,118.0,105.2,188.5,98.0,104.9,108.5,103.2,112.8,92.4,89.4,,,69.8
Łódzkie,122.9,137.8,125.1,166.7,135.6,126.9,136.5,138.6,132.7,133.7,133.4,,,129.7
Małopolskie,61.8,77.8,70.8,68.2,84.6,87.6,77.5,93.7,82.3,90.3,84.3,,,88.6
Mazowieckie,100.2,100.9,106.9,92.3,125.4,87.3,111.9,117.3,128.9,111.4,116.7,,,101.6
Opolskie,183.5,223.4,191.2,223.5,188.0,199.8,203.2,190.2,202.8,188.8,189.5,,,197.2
Podkarpackie,65.1,65.2,60.9,74.9,80.1,70.6,70.2,82.2,85.0,83.3,84.4,,,94.7
Podlaskie,106.2,95.3,99.5,97.6,115.7,88.7,95.1,109.6,124.0,106.1,120.5,,,99.6
Pomorskie,131.3,139.3,138.5,153.9,142.8,126.0,142.4,136.2,152.6,147.2,139.8,,,138.9
Śląskie,112.7,130.0,125.7,112.9,138.3,114.7,123.0,124.2,124.9,126.2,123.5,,,114.3
Świętokrzyskie,85.6,93.1,94.8,126.2,105.8,121.8,96.6,115.3,106.0,101.2,105.5,,,102.7
Warmińsko-Mazurskie,109.1,120.7,105.1,107.7,100.2,97.9,104.8,116.5,113.6,97.3,105.1,,,94.4
Wielkopolskie,150.5,172.9,161.9,151.1,158.2,155.1,163.1,163.6,170.4,144.3,154.2,,,139.0
Zachodniopomorskie,129.0,126.7,141.2,136.8,117.3,110.4,131.9,134.5,115.5,127.0,118.2,,,101.5
