REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,8.7,8.3,8.4,8.4,8.2,8.0,7.9,8.1,8.0,7.9,7.7,6.9,7.0,7.2
Dolnośląskie,8.3,7.9,8.7,8.7,9.7,8.9,8.1,9.2,9.5,9.1,7.8,6.0,8.3,6.6
Kujawsko-Pomorskie,9.2,8.1,8.5,8.4,8.4,8.8,7.6,7.9,9.6,8.2,7.9,6.1,6.5,8.4
Lubelskie,6.9,7.8,6.9,6.6,7.9,6.2,5.4,7.6,7.8,6.2,6.2,7.9,6.1,7.1
Lubuskie,11.6,11.1,12.0,10.1,12.0,8.8,10.7,10.5,9.6,10.2,9.0,6.7,8.9,6.2
Łódzkie,9.5,10.4,8.1,8.7,8.1,10.4,8.1,7.5,9.4,8.4,8.3,7.0,8.0,6.1
Małopolskie,7.2,7.3,7.4,7.4,7.2,7.3,6.2,7.9,6.0,6.8,6.2,6.6,6.1,6.9
Mazowieckie,8.9,7.7,7.9,8.3,7.6,7.6,7.7,7.7,7.5,7.7,6.8,6.7,6.3,6.8
Opolskie,10.1,8.2,10.3,10.8,8.3,10.5,6.4,8.4,5.9,6.5,10.1,8.9,8.4,5.4
Podkarpackie,6.4,5.2,6.4,7.6,6.1,5.3,6.4,6.8,5.9,6.5,6.1,5.8,4.8,5.1
Podlaskie,10.1,8.3,7.3,9.0,8.3,6.9,7.9,8.2,6.1,8.8,6.9,8.6,8.0,8.7
Pomorskie,8.5,9.1,9.0,7.2,8.8,7.8,9.4,8.7,9.0,8.8,6.6,7.3,6.2,7.4
Śląskie,10.6,9.8,10.2,10.1,9.5,9.2,9.3,8.4,8.5,8.6,9.3,6.9,8.1,8.5
Świętokrzyskie,6.8,8.6,8.1,11.2,5.7,8.2,8.6,5.3,7.4,4.9,7.1,8.0,8.6,8.0
Warmińsko-Mazurskie,10.7,9.0,9.2,8.7,8.3,9.1,8.4,7.8,6.0,7.4,11.5,7.2,8.0,6.9
Wielkopolskie,7.2,7.7,7.1,6.8,7.1,6.2,7.3,8.6,8.9,8.4,7.5,6.8,6.7,7.9
Zachodniopomorskie,10.1,9.1,9.6,8.2,9.3,8.2,10.8,9.6,9.6,9.4,8.8,7.9,7.1,8.1
