REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,27.2,29.3,29.6,32.2,33.6,33.0,32.9,31.1,31.2,31.8,33.0,34.0,33.6,32.1,33.5
Dolnośląskie,18.2,21.5,24.4,27.7,28.1,29.1,29.7,25.7,24.2,19.9,24.4,25.2,23.8,21.9,22.6
Kujawsko-Pomorskie,23.6,25.7,24.3,23.6,25.3,28.2,31.2,27.7,30.6,31.7,31.7,29.1,35.2,30.5,35.9
Lubelskie,22.3,25.3,28.3,27.1,27.4,32.8,30.4,25.3,27.7,28.0,31.4,36.4,33.4,36.0,26.7
Lubuskie,21.2,21.9,22.0,29.4,28.1,24.6,32.1,31.1,32.7,31.7,30.8,30.1,35.3,30.3,29.1
Łódzkie,33.1,35.8,30.4,35.1,35.3,29.8,24.2,22.9,20.4,21.2,25.7,33.2,26.6,27.4,28.7
Małopolskie,21.5,22.1,22.7,25.2,24.7,26.1,19.6,25.4,25.7,27.0,26.6,28.0,26.0,30.5,27.4
Mazowieckie,37.4,41.1,40.2,47.7,47.1,46.6,50.4,49.4,47.7,49.4,47.2,46.0,47.6,44.0,47.7
Opolskie,20.5,26.5,19.1,19.9,25.5,27.1,27.3,23.3,26.0,26.7,32.0,30.9,25.3,20.6,24.9
Podkarpackie,29.4,32.8,38.4,36.5,43.2,39.6,38.8,39.2,40.7,36.7,37.9,42.8,40.9,40.2,33.6
Podlaskie,36.2,36.2,35.8,32.7,38.9,39.3,31.3,28.2,27.4,33.6,28.4,36.2,34.6,35.2,32.7
Pomorskie,24.5,22.3,18.8,21.2,23.5,19.0,21.8,21.4,20.8,19.8,19.6,22.5,24.0,25.3,26.9
Śląskie,24.7,25.5,28.5,28.9,30.1,26.2,21.1,22.4,23.8,30.1,33.9,38.4,31.9,28.2,34.4
Świętokrzyskie,53.9,50.6,42.0,42.1,43.8,31.9,32.6,29.5,33.7,37.3,43.4,45.8,36.9,25.0,26.1
Warmińsko-Mazurskie,28.7,34.3,28.6,30.2,33.0,37.9,31.2,27.6,26.1,29.0,26.8,24.4,21.2,25.9,25.0
Wielkopolskie,20.9,23.6,27.2,30.4,32.1,31.4,30.2,25.9,28.7,31.9,34.2,32.0,33.6,33.7,36.1
Zachodniopomorskie,37.9,37.7,38.1,39.3,42.8,46.4,51.2,49.9,47.4,45.0,47.4,45.2,47.2,39.6,47.6
