REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,60.0,59.0,57.1,56.3,55.2,55.2,56.4,57.2,57.1,56.7,57.5,59.3,56.8,56.4,58.0
Dolnośląskie,65.8,59.9,57.6,61.1,55.3,54.8,56.6,58.8,55.8,57.9,60.6,64.6,66.9,70.7,76.4
Kujawsko-Pomorskie,55.9,57.5,59.0,59.8,58.2,57.0,61.3,64.8,63.5,63.1,63.9,67.4,67.9,67.6,68.9
Lubelskie,33.3,32.0,31.6,33.0,33.6,32.8,32.3,33.0,34.5,34.7,36.5,37.5,36.4,37.5,37.9
Lubuskie,34.2,34.8,37.2,34.7,34.5,35.0,36.1,37.6,37.0,36.9,38.2,42.4,39.2,42.4,44.4
Łódzkie,51.3,50.1,47.5,44.5,39.8,39.3,40.2,37.7,39.0,39.4,39.6,40.3,41.7,43.6,44.5
Małopolskie,91.8,91.9,79.9,79.6,77.5,78.3,76.8,79.2,80.9,79.3,76.1,76.7,44.5,45.7,46.0
Mazowieckie,51.8,46.8,44.8,47.3,46.6,46.1,46.1,48.9,50.0,50.6,50.7,51.4,51.0,51.4,53.5
Opolskie,109.3,100.4,85.7,60.4,61.9,60.8,57.6,61.9,61.3,62.8,64.6,65.3,63.9,68.4,69.3
Podkarpackie,35.2,35.5,32.8,33.0,32.6,32.5,33.4,34.1,34.4,34.8,35.7,36.5,36.4,38.1,38.4
Podlaskie,33.3,33.4,33.4,32.7,32.6,32.7,34.1,34.7,35.1,35.2,35.9,37.0,37.0,38.1,38.9
Pomorskie,55.2,54.6,54.8,55.4,54.1,55.5,56.6,58.5,58.4,58.6,57.5,58.1,57.2,57.4,61.1
Śląskie,84.4,82.6,80.6,80.2,80.2,80.2,81.4,82.6,82.8,84.3,89.0,92.1,95.7,93.7,99.2
Świętokrzyskie,59.0,59.8,58.2,67.9,66.4,61.5,64.6,64.5,64.5,59.0,60.2,66.8,68.6,59.3,63.8
Warmińsko-Mazurskie,34.4,33.4,34.2,33.7,33.5,33.5,35.8,37.0,37.4,38.3,38.5,37.6,37.7,38.3,39.6
Wielkopolskie,58.2,64.9,68.8,61.3,62.0,64.1,70.1,64.7,61.1,55.5,55.1,58.5,58.9,50.7,44.2
Zachodniopomorskie,66.7,67.9,69.9,66.1,66.8,68.3,67.0,66.6,65.9,63.9,65.5,65.8,62.5,59.7,63.8
