year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,37896,42655,31385,26486,32281,35589,33286,59303,31915,26583,28605,36279,40242,29728,27785,39688,32633
2011,41101,46622,33540,28998,34321,38300,36474,64373,34497,29074,31130,39285,43719,31867,29828,43104,34684
2012,42624,48121,34551,30283,35570,40057,37584,67247,35422,30064,31625,41475,44775,32476,30731,44914,35967
2013,43063,47916,35297,30894,36125,40361,38062,68358,35645,30909,32630,41243,44398,32098,31087,45975,36205
2014,44998,50268,36662,31951,38339,42360,39985,70909,37749,32240,33893,42676,46434,33597,32712,48142,38222
2015,47643,53030,38814,33153,39971,44695,42858,75087,39672,34074,35109,45597,49190,35148,34131,51469,40632
2016,49160,54405,40044,34413,41482,46039,44457,77268,40397,35031,36154,47457,50696,35949,35401,53406,41511
2017,52601,58011,42484,36965,43667,49152,47950,83182,43010,37042,39156,50528,54151,38344,37354,57136,44262
2018,56581,61712,45883,38967,46562,52725,51984,90007,46096,40217,41911,54769,58366,41681,39334,60801,47554
2019,60976,66512,48404,42159,49603,57435,55604,98051,49493,43396,45443,58954,62097,44330,41930,65815,50747
2020,63577,69460,52331,45003,52322,61458,57503,98747,51572,45460,49135,59384,63439,47801,46112,68144,53922
2021,71985,79686,59125,50508,59202,68569,65625,109612,60138,52000,54803,69075,73819,53932,51969,76121,60693
2022,82079,88480,68130,57467,66799,77383,72946,126381,66678,58221,63697,80885,85942,60075,58536,85665,67261
2023,90759,96997,72843,62534,72438,86151,80976,142761,72963,64987,70079,86643,93591,67847,64077,95104,74398
2024,97357,103643,78539,68770,77733,92091,87269,153228,78488,71021,75601,92806,97509,74695,69137,102129,79783
