REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,74.3,71.8,72.3,69.4,21.0,21.9,19.7,18.9,20.2,20.4,23.7,20.6,20.8,22.6,23.7
Dolnośląskie,69.0,69.0,68.3,67.3,2.6,2.8,2.0,2.6,2.6,2.9,3.5,4.2,3.3,3.0,1.8
Kujawsko-Pomorskie,73.8,83.9,86.5,46.1,13.4,9.8,9.9,20.8,19.5,22.3,22.9,21.1,20.4,13.3,14.8
Lubelskie,79.5,60.8,63.7,52.0,1.0,1.2,8.5,1.3,3.0,2.1,1.0,0.9,1.8,2.2,6.8
Lubuskie,77.2,95.0,95.5,95.8,30.6,26.1,17.4,13.9,17.2,25.4,27.1,25.4,28.0,29.9,29.5
Łódzkie,14.7,16.6,16.3,18.4,2.8,8.9,5.5,7.9,5.8,5.4,4.3,4.8,4.6,9.7,5.0
Małopolskie,89.8,91.5,90.2,92.2,57.9,61.5,49.1,54.0,52.4,55.5,51.7,44.2,37.7,33.9,48.5
Mazowieckie,59.2,53.2,58.1,59.2,9.3,10.0,13.0,13.6,12.4,13.6,14.3,10.8,19.3,9.1,25.2
Opolskie,79.7,82.9,80.3,87.2,41.4,50.8,54.6,48.7,48.8,46.7,48.9,55.4,38.2,40.4,62.8
Podkarpackie,80.5,94.8,91.8,93.4,16.3,7.3,7.2,13.7,15.0,12.1,11.4,10.3,11.6,8.8,26.8
Podlaskie,86.5,90.7,94.9,82.9,31.2,35.0,40.3,30.2,36.3,31.5,29.9,58.3,25.7,24.7,53.9
Pomorskie,81.3,89.9,91.2,92.3,41.1,28.2,49.3,45.1,44.5,20.8,37.7,38.2,6.9,29.2,24.9
Śląskie,93.8,87.5,91.3,90.5,42.9,42.9,41.4,38.4,43.4,44.7,51.0,46.0,50.5,54.9,52.3
Świętokrzyskie,96.9,97.5,81.7,51.3,23.3,44.5,30.3,13.3,25.7,19.3,20.8,12.9,20.5,29.3,30.4
Warmińsko-Mazurskie,88.6,84.5,93.5,92.1,15.4,13.5,29.2,11.8,13.9,8.8,77.8,57.9,42.0,21.0,31.5
Wielkopolskie,65.8,66.5,53.9,51.2,5.5,6.4,4.2,7.0,5.2,4.6,20.4,24.7,8.3,6.2,12.7
Zachodniopomorskie,35.2,51.1,34.4,38.2,14.3,12.5,9.0,10.9,15.6,10.1,9.3,8.7,13.6,11.3,20.3
