REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,90.9,91.9,94.7,91.4,91.2,94.0,91.8,91.8,94.1,90.8,91.0,91.6,88.0,92.8
Dolnośląskie,90.6,89.0,97.1,89.4,93.1,90.9,89.7,93.6,89.0,89.1,88.5,85.7,79.6,89.8
Kujawsko-Pomorskie,90.4,94.4,98.5,91.2,93.1,96.6,93.5,94.8,98.6,90.5,91.8,93.2,88.1,94.8
Lubelskie,89.4,89.9,91.8,91.6,89.3,92.7,87.4,90.4,91.9,89.6,90.0,89.3,86.7,86.3
Lubuskie,96.5,89.3,89.2,96.0,89.7,97.4,91.4,91.9,99.0,88.6,91.9,91.6,88.9,90.8
Łódzkie,90.3,93.6,97.0,94.6,91.6,96.2,92.9,91.3,94.7,89.6,89.6,96.5,92.0,96.0
Małopolskie,85.0,83.9,85.1,87.2,83.5,86.7,84.3,86.8,85.9,84.9,85.8,88.5,86.2,93.0
Mazowieckie,88.0,90.1,92.1,88.4,89.4,91.0,88.6,89.4,91.6,92.7,89.6,90.1,87.8,92.2
Opolskie,96.5,91.2,100.4,93.3,97.5,96.1,96.5,96.5,100.5,88.9,100.8,93.2,85.7,93.6
Podkarpackie,84.7,80.6,86.6,84.2,79.8,87.1,83.8,80.9,83.0,80.4,81.6,83.0,79.9,85.5
Podlaskie,94.0,95.9,95.9,90.5,94.2,95.7,94.7,92.4,94.0,91.7,92.7,91.2,91.5,91.4
Pomorskie,93.3,95.4,97.0,93.6,91.9,93.5,96.0,93.9,96.7,89.4,95.1,90.9,84.4,90.3
Śląskie,88.5,91.7,97.2,93.1,91.5,97.9,92.4,94.4,94.2,93.8,94.9,92.8,93.4,96.6
Świętokrzyskie,84.3,82.5,85.4,83.9,85.6,86.5,88.4,86.7,89.1,87.7,88.6,89.3,83.2,92.0
Warmińsko-Mazurskie,94.6,96.1,97.1,95.9,93.5,95.3,92.9,93.6,97.8,89.6,90.0,87.3,82.1,89.1
Wielkopolskie,92.7,96.6,96.4,93.1,94.2,98.6,95.7,94.3,98.0,94.3,93.5,96.9,92.9,97.4
Zachodniopomorskie,96.9,92.8,98.9,94.0,88.9,88.9,96.4,93.3,92.1,85.9,90.7,88.6,81.5,89.3
