year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,1.38,0.06,0.28,1.65,0.09,2.68,2.58,0.30,0.69,0.02,0.02,0.25,5.42,2.47,1.23,0.10,0.03
2011,2.13,0.08,0.39,9.79,0.19,6.41,1.39,0.60,0.25,0.27,1.47,1.00,6.08,1.28,0.01,0.21,0.09
2012,1.96,0.71,0.40,6.10,0.08,3.44,5.19,0.41,0.58,0.14,0.84,0.95,5.48,0.04,0.05,0.34,0.13
2013,2.65,0.33,1.88,1.71,0.13,1.18,8.55,2.52,1.27,0.63,1.20,0.39,8.96,0.50,0.00,0.36,0.04
2014,6.58,2.10,1.55,29.07,0.21,6.14,21.94,3.52,7.77,3.45,13.09,0.82,5.74,7.48,0.01,0.60,1.50
2015,14.59,6.03,7.38,69.61,2.66,21.23,28.70,7.20,2.60,16.78,23.66,1.38,13.32,29.45,1.17,2.11,6.57
2016,7.77,7.30,3.98,5.18,0.26,4.82,36.30,2.00,1.49,12.30,1.06,2.87,6.14,22.94,0.18,1.86,7.95
2017,13.84,16.11,13.78,17.15,1.55,11.03,40.86,10.24,5.76,15.64,6.94,2.40,21.99,13.15,0.87,3.76,8.05
2018,35.33,35.86,60.85,139.58,1.23,24.74,56.30,22.40,10.22,59.45,23.03,2.05,34.27,39.91,22.16,6.29,16.68
2019,33.86,21.61,11.95,95.03,1.39,19.11,50.94,21.67,16.50,104.13,37.30,6.56,31.61,61.77,12.64,26.58,26.31
2020,25.75,13.20,13.69,34.62,2.08,22.75,47.95,24.61,14.58,57.86,17.98,12.02,36.12,30.05,8.04,13.42,28.94
2021,33.21,27.31,21.89,56.00,6.27,28.82,61.45,21.82,21.64,57.70,28.65,7.11,73.26,26.89,2.97,12.71,13.97
2022,39.07,31.10,23.24,93.05,11.45,39.04,55.73,20.13,32.83,25.56,72.02,8.66,91.10,44.98,2.09,22.89,15.49
2023,46.24,28.48,24.34,75.75,12.10,108.36,52.29,23.18,31.05,99.65,54.48,20.51,76.53,54.62,12.61,31.30,9.36
2024,20.01,17.77,22.59,22.44,8.80,20.72,32.51,18.49,14.94,19.25,22.95,10.86,24.06,22.42,11.33,21.10,9.80
