REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,1595,806,801,703,533,521,501,452,493,631,613,665,675,672
Dolnośląskie,1625,1468,1833,1703,1647,1732,2183,2143,2136,1850,2224,2208,2154,2197
Kujawsko-Pomorskie,573,403,403,469,581,537,451,444,443,640,693,826,802,785
Lubelskie,314,721,801,1342,490,418,268,133,299,499,544,244,112,112
Lubuskie,869,504,503,550,655,489,448,610,692,749,772,491,242,186
Łódzkie,619,345,624,534,560,585,291,376,485,557,486,602,621,456
Małopolskie,221,91,85,124,126,102,86,75,75,64,40,43,42,77
Mazowieckie,216,155,167,259,202,253,261,228,183,204,209,166,243,295
Opolskie,4010,3606,3670,3333,2625,2839,2718,1830,1269,1339,961,896,988,1054
Podkarpackie,1234,375,337,108,112,90,27,29,110,102,138,137,124,127
Podlaskie,3053,3758,3033,791,823,1016,892,745,952,767,825,1006,1040,897
Pomorskie,32,125,56,86,130,60,94,91,226,288,281,328,806,816
Śląskie,2153,1727,1787,2884,984,800,669,605,697,3679,2797,4598,3996,4390
Świętokrzyskie,317,285,270,310,256,176,257,177,387,659,683,635,761,754
Warmińsko-Mazurskie,73,39,59,36,51,36,33,34,32,36,37,50,52,38
Wielkopolskie,7957,506,444,240,112,97,84,115,147,120,86,90,97,350
Zachodniopomorskie,983,770,795,744,755,642,692,624,627,642,623,578,751,310
