year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,67.9,67.8,66.3,72.5,76.1,65.5,66.1,59.9,73.0,73.3,69.0,70.6,63.6,78.4,71.6,73.3,70.7
2011,68.7,68.1,70.2,73.9,77.7,65.8,68.1,61.1,73.5,73.8,70.3,65.4,64.4,79.9,72.1,75.2,71.1
2012,67.8,67.2,69.4,73.1,74.9,62.5,68.0,60.4,71.0,72.2,70.1,60.2,66.3,77.4,71.8,74.8,70.7
2013,67.0,67.0,68.2,70.9,73.1,62.9,63.6,59.0,70.2,71.4,69.0,63.0,67.7,75.1,67.5,74.0,69.6
2014,65.2,61.6,67.8,72.2,71.9,58.7,63.9,54.7,68.7,69.7,65.6,62.2,68.7,72.3,68.4,71.8,67.4
2015,64.7,60.3,66.2,71.0,71.2,58.8,67.1,53.8,65.8,71.6,65.4,59.1,68.4,76.4,64.9,70.3,69.9
2016,66.5,60.7,68.6,72.9,69.5,61.8,72.9,56.0,65.5,69.3,69.8,61.9,70.6,74.3,67.2,71.6,71.3
2017,71.7,64.1,74.1,77.4,73.7,65.9,79.4,60.0,74.1,79.9,73.5,65.3,77.6,79.9,71.5,74.6,73.7
2018,73.4,65.4,78.5,82.4,74.8,67.9,79.4,64.6,72.4,76.7,75.4,67.5,77.7,80.6,75.3,76.9,76.0
2019,73.1,66.3,74.1,83.0,72.3,69.3,79.2,62.7,71.3,77.2,75.4,68.2,76.8,80.2,75.5,75.8,81.4
2020,73.3,65.5,74.3,81.3,70.3,69.5,78.2,64.7,72.6,80.4,79.7,66.9,79.3,82.3,75.3,76.0,73.1
2021,71.2,65.3,74.3,80.1,72.2,70.1,75.8,63.6,70.2,75.3,76.7,62.5,75.3,77.5,72.5,73.3,74.8
2022,71.1,63.0,77.2,75.5,67.8,65.2,74.8,62.7,68.8,68.1,80.4,65.2,80.0,75.5,74.9,72.3,71.5
2023,71.5,65.0,79.1,79.7,71.0,69.4,75.3,62.6,70.7,71.5,79.1,68.4,76.8,75.8,75.9,72.5,71.4
2024,69.8,62.5,76.5,76.3,68.4,65.3,78.0,61.8,68.3,68.0,73.6,66.9,73.7,72.0,76.5,72.5,68.0
