REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,,,,,,,,,,,,,105,111
DOLNOŚLĄSKIE,,,,,,,,,,,,,145,150
KUJAWSKO-POMORSKIE,,,,,,,,,,,,,104,105
LUBELSKIE,,,,,,,,,,,,,126,140
LUBUSKIE,,,,,,,,,,,,,118,124
ŁÓDZKIE,,,,,,,,,,,,,96,103
MAŁOPOLSKIE,,,,,,,,,,,,,105,108
MAZOWIECKIE,,,,,,,,,,,,,119,126
OPOLSKIE,,,,,,,,,,,,,121,129
PODKARPACKIE,,,,,,,,,,,,,138,147
PODLASKIE,,,,,,,,,,,,,85,88
POMORSKIE,,,,,,,,,,,,,86,90
ŚLĄSKIE,,,,,,,,,,,,,119,119
ŚWIĘTOKRZYSKIE,,,,,,,,,,,,,114,118
WARMIŃSKO-MAZURSKIE,,,,,,,,,,,,,69,81
WIELKOPOLSKIE,,,,,,,,,,,,,48,56
ZACHODNIOPOMORSKIE,,,,,,,,,,,,,78,82
