REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,ogółem,3.18,3.27,3.48,3.53,3.78,3.88,4.00,4.08,4.20,4.29,4.40,4.54,4.61,4.66,4.74
Dolnośląskie,ogółem,3.83,3.88,3.93,3.94,4.07,4.17,4.18,4.21,4.26,4.55,4.56,4.64,4.73,4.75,4.79
Kujawsko-Pomorskie,ogółem,3.06,3.07,3.08,3.12,3.13,3.23,3.30,3.33,3.36,3.40,3.69,3.77,4.49,4.52,4.73
Lubelskie,ogółem,2.64,3.27,3.32,3.82,3.98,4.08,4.16,4.24,4.22,4.34,4.66,4.70,4.75,4.83,4.89
Lubuskie,ogółem,3.28,3.28,3.26,3.27,3.68,3.74,3.75,3.75,3.76,3.77,3.84,3.87,3.90,3.92,4.37
Łódzkie,ogółem,1.95,1.96,3.46,3.51,3.60,3.77,3.80,4.61,4.52,4.55,4.69,4.76,4.85,4.89,4.97
Małopolskie,ogółem,2.52,2.49,2.50,2.49,2.50,2.50,2.52,2.56,2.55,2.54,2.53,3.12,3.14,3.14,3.15
Mazowieckie,ogółem,3.26,3.27,3.59,3.60,3.78,3.82,3.95,4.18,4.59,4.61,4.44,4.38,4.35,4.29,4.34
Opolskie,ogółem,2.89,2.91,2.92,2.94,2.95,2.97,2.98,2.99,3.01,3.03,3.11,3.44,3.46,3.50,3.28
Podkarpackie,ogółem,1.99,2.09,2.09,2.30,2.30,2.49,2.57,2.59,2.60,2.63,2.77,2.81,2.82,3.13,3.02
Podlaskie,ogółem,2.64,2.87,3.25,3.48,3.54,3.31,3.57,3.41,3.55,3.66,3.73,4.70,4.33,4.39,4.29
Pomorskie,ogółem,3.51,3.87,3.96,3.96,4.07,4.16,4.20,4.20,4.21,4.20,4.19,4.20,4.18,4.16,4.54
Śląskie,ogółem,4.27,4.36,4.62,4.62,4.73,5.17,5.68,5.58,5.63,5.93,6.40,6.56,6.70,6.77,6.88
Świętokrzyskie,ogółem,2.01,2.02,2.07,2.09,2.09,2.11,2.12,2.13,2.15,2.17,2.23,2.37,2.39,2.43,2.47
Warmińsko-Mazurskie,ogółem,1.83,1.89,2.03,2.05,2.06,2.17,2.17,2.20,3.04,3.09,3.17,3.38,3.43,3.47,3.53
Wielkopolskie,ogółem,4.10,4.14,4.15,4.00,5.85,5.87,5.94,5.96,5.96,5.98,6.00,6.06,6.21,6.27,6.29
Zachodniopomorskie,ogółem,4.50,4.55,4.58,4.68,4.71,4.57,4.65,4.75,5.14,5.32,5.77,5.83,5.90,6.04,6.48
Polska,miasto,4.80,4.95,5.28,5.37,5.78,5.90,6.09,6.24,6.42,6.56,6.76,6.97,7.05,7.09,7.19
Dolnośląskie,miasto,4.98,5.07,5.16,5.18,5.38,5.53,5.55,5.62,5.67,6.11,6.17,6.20,6.34,6.39,6.43
Kujawsko-Pomorskie,miasto,4.89,4.92,4.95,5.03,5.06,5.24,5.37,5.43,5.50,5.59,6.13,6.29,6.42,6.49,6.60
Lubelskie,miasto,5.12,6.47,6.56,7.64,7.93,8.14,8.28,8.42,8.38,8.63,9.37,9.45,9.57,9.77,9.84
Lubuskie,miasto,3.93,3.93,3.91,3.93,4.39,4.34,4.37,4.37,4.38,4.40,4.49,4.54,4.58,4.62,5.21
