REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Polska,0.38,0.40,0.39,0.38,0.38,0.39,0.39,0.40,0.40,0.41,0.41,0.42,0.42,0.43,0.44,0.45
Dolnośląskie,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.40,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.42
Kujawsko-Pomorskie,0.42,0.41,0.42,0.43,0.42,0.42,0.42,0.42,0.45,0.45,0.46,0.46,0.46,0.47,0.48,0.50
Lubelskie,0.40,0.40,0.41,0.41,0.41,0.41,0.41,0.42,0.42,0.44,0.45,0.45,0.46,0.46,0.49,0.51
Lubuskie,0.52,0.54,0.48,0.48,0.48,0.50,0.50,0.50,0.51,0.51,0.54,0.55,0.55,0.56,0.57,0.57
Łódzkie,0.38,0.39,0.41,0.37,0.37,0.38,0.38,0.40,0.40,0.42,0.42,0.43,0.44,0.44,0.44,0.46
Małopolskie,0.33,0.35,0.33,0.33,0.38,0.36,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.40,0.42,0.42
Mazowieckie,0.36,0.38,0.40,0.36,0.35,0.35,0.35,0.36,0.36,0.37,0.36,0.37,0.37,0.39,0.39,0.40
Opolskie,0.40,0.51,0.41,0.42,0.42,0.42,0.42,0.42,0.43,0.45,0.46,0.46,0.47,0.47,0.47,0.52
Podkarpackie,0.39,0.43,0.39,0.39,0.39,0.40,0.40,0.40,0.42,0.45,0.45,0.46,0.46,0.47,0.49,0.51
Podlaskie,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.47,0.48,0.49,0.49,0.50,0.50,0.54,0.56
Pomorskie,0.36,0.36,0.37,0.37,0.36,0.37,0.37,0.38,0.39,0.40,0.40,0.41,0.41,0.42,0.47,0.47
Śląskie,0.34,0.35,0.33,0.33,0.34,0.34,0.34,0.35,0.36,0.36,0.37,0.37,0.38,0.39,0.40,0.41
Świętokrzyskie,0.35,0.40,0.36,0.36,0.36,0.37,0.37,0.37,0.38,0.40,0.41,0.41,0.41,0.43,0.43,0.43
Warmińsko-Mazurskie,0.49,0.50,0.52,0.52,0.52,0.55,0.54,0.54,0.55,0.58,0.58,0.59,0.59,0.60,0.62,0.64
Wielkopolskie,0.34,0.36,0.33,0.33,0.33,0.33,0.34,0.34,0.34,0.35,0.35,0.35,0.35,0.36,0.38,0.39
Zachodniopomorskie,0.48,0.49,0.46,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.50,0.50,0.50,0.51,0.52
