REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,66.0,65.3,66.0,65.5,67.2,65.8,65.4,64.6,64.6,68.3,68.9,69.7,72.3,74.1,72.3
Dolnośląskie,67.3,67.7,66.3,67.7,68.6,69.0,67.3,64.9,62.4,74.1,74.5,76.0,68.7,76.2,72.4
Kujawsko-Pomorskie,62.9,62.4,63.0,60.7,62.5,64.2,64.2,55.7,58.0,65.6,68.5,65.7,69.9,77.7,75.5
Lubelskie,70.0,68.5,68.8,66.9,68.3,63.4,58.8,58.4,60.4,65.8,66.8,68.0,73.2,73.7,75.0
Lubuskie,67.3,67.9,64.2,64.5,68.6,64.7,61.4,66.1,63.3,67.7,71.3,66.7,70.5,75.6,70.7
Łódzkie,71.0,69.5,68.7,69.0,71.0,69.2,72.5,71.9,70.8,70.9,72.5,67.9,80.5,73.9,68.5
Małopolskie,60.7,61.9,62.8,63.3,64.2,62.0,62.6,60.1,62.9,63.3,63.5,70.7,71.3,71.7,74.1
Mazowieckie,70.9,70.8,73.4,73.5,74.3,72.9,71.5,70.4,71.8,74.4,74.1,73.7,77.9,80.0,77.6
Opolskie,63.0,63.0,62.1,62.4,64.5,63.3,64.0,59.6,64.0,65.3,67.7,70.2,71.7,76.1,76.6
Podkarpackie,58.0,55.6,56.9,56.8,55.1,56.5,58.4,59.6,56.0,60.5,60.3,58.3,59.1,61.4,64.6
Podlaskie,71.9,69.8,69.6,70.3,71.1,68.9,67.2,68.3,69.7,68.8,68.3,73.4,76.7,75.9,66.0
Pomorskie,61.0,61.8,66.2,65.0,64.9,64.9,62.7,64.6,65.5,68.5,68.2,72.9,76.7,78.5,72.2
Śląskie,65.0,65.9,66.5,65.6,68.3,64.5,66.5,69.5,68.9,68.1,69.3,69.0,70.3,70.0,73.6
Świętokrzyskie,64.1,61.3,62.9,63.2,64.7,58.2,56.9,56.9,52.2,66.7,67.2,65.4,68.0,66.7,62.7
Warmińsko-Mazurskie,63.5,60.0,58.9,58.8,60.8,59.0,56.3,53.2,53.8,59.2,60.4,63.5,64.5,67.2,67.8
Wielkopolskie,67.5,65.4,65.7,64.7,68.5,69.1,69.3,67.2,66.7,70.3,70.1,71.5,70.4,74.7,70.3
Zachodniopomorskie,64.1,61.1,59.4,59.6,63.2,61.1,62.8,62.6,60.9,65.9,67.0,66.7,72.2,79.2,73.9
