REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,5.61,5.73,5.62,5.65,5.43,5.50,5.49,5.57,5.55,5.17,4.88,5.51,5.38,4.58
Dolnośląskie,5.60,5.47,5.50,5.25,4.63,4.42,4.41,4.14,4.07,3.53,3.54,5.21,5.55,4.57
Kujawsko-Pomorskie,3.33,3.35,4.03,3.79,3.88,4.01,4.48,4.69,4.77,4.69,4.87,4.93,4.73,4.56
Lubelskie,2.38,2.57,2.46,2.19,2.31,2.33,2.39,2.38,2.40,2.36,2.39,2.41,2.85,2.41
Lubuskie,2.03,2.04,2.01,1.97,1.97,1.96,2.15,2.16,2.21,3.28,2.07,2.37,2.09,2.07
Łódzkie,14.02,15.74,16.15,17.06,16.68,16.92,16.17,17.42,17.74,15.53,14.65,16.25,17.11,13.34
Małopolskie,3.14,3.28,3.16,3.28,3.04,3.22,2.98,3.23,3.09,2.64,2.04,2.23,2.06,1.85
Mazowieckie,5.61,5.42,5.26,5.40,5.34,5.35,5.37,5.42,5.87,6.01,5.55,6.07,6.05,5.15
Opolskie,13.49,13.75,12.44,12.12,13.03,12.38,12.45,12.99,15.05,14.02,16.95,18.47,16.44,15.78
Podkarpackie,1.77,1.74,1.58,1.52,1.19,1.44,1.32,1.32,1.30,1.36,1.20,1.02,0.90,0.87
Podlaskie,1.34,1.37,1.23,1.65,1.69,1.66,1.86,1.74,1.72,1.81,1.77,1.91,1.68,1.59
Pomorskie,2.87,3.03,3.02,2.84,2.79,2.87,2.95,2.88,2.88,2.84,2.77,2.87,2.75,2.58
Śląskie,9.36,9.37,8.84,8.95,8.11,8.47,8.47,8.71,7.99,7.17,6.60,8.15,7.46,6.22
Świętokrzyskie,10.38,10.83,9.95,9.07,9.54,9.95,11.18,10.91,12.27,11.03,9.29,12.32,12.75,10.62
Warmińsko-Mazurskie,1.05,0.96,1.04,1.10,1.01,1.01,1.11,1.16,1.17,1.21,1.10,1.25,1.18,1.06
Wielkopolskie,4.88,4.84,4.84,4.96,4.70,4.69,4.44,4.15,3.29,3.12,2.75,2.70,2.30,1.76
Zachodniopomorskie,5.31,5.36,5.36,5.50,5.16,5.02,4.94,4.54,4.18,3.68,4.06,3.99,3.61,3.52
