REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,24.3,22.7,19.1,18.2,20.3,18.9,11.8,14.5,19.7,17.5,15.6,15.2,17.0,22.8,18.9
Dolnośląskie,23.5,22.4,20.1,17.9,20.5,18.1,12.9,15.0,21.2,15.5,13.2,14.6,17.4,21.7,17.7
Kujawsko-Pomorskie,22.9,22.6,20.3,17.8,19.8,18.7,10.3,12.5,18.4,16.9,14.9,15.0,17.3,21.6,18.4
Lubelskie,23.8,24.5,19.6,20.7,25.9,22.7,11.7,15.1,21.5,20.9,18.5,19.0,18.6,25.2,23.2
Lubuskie,27.1,19.5,12.7,13.6,17.9,14.8,11.3,15.3,20.9,18.0,16.0,15.1,17.2,24.5,21.3
Łódzkie,23.9,19.7,17.7,18.1,20.0,20.2,12.4,13.5,17.4,17.1,15.6,14.6,18.3,27.6,19.6
Małopolskie,24.1,24.3,18.7,16.7,19.0,19.1,13.1,14.4,17.8,16.6,15.9,16.9,17.3,22.2,17.2
Mazowieckie,22.1,19.0,17.2,15.9,18.1,16.0,11.5,14.3,17.8,15.7,13.0,13.1,15.0,20.2,17.6
Opolskie,23.8,20.5,14.8,14.5,15.9,12.7,12.8,14.1,20.0,19.4,14.7,12.7,15.4,18.4,17.8
Podkarpackie,25.8,25.6,19.6,21.5,23.8,22.9,11.4,17.8,24.0,19.5,17.3,15.9,19.7,29.0,24.5
Podlaskie,29.9,26.9,20.8,21.3,24.1,24.2,12.5,19.5,28.6,26.2,21.2,16.6,19.5,27.5,26.8
Pomorskie,25.9,26.0,23.9,19.0,20.5,18.8,12.1,13.8,20.9,19.0,14.8,13.5,15.2,21.8,16.5
Śląskie,23.5,21.4,18.6,20.4,22.6,19.7,11.5,12.5,17.4,16.2,15.4,14.6,16.0,20.4,15.6
Świętokrzyskie,27.7,25.7,22.8,21.0,20.7,21.2,9.9,14.0,21.5,20.1,16.8,14.8,17.8,25.0,21.2
Warmińsko-Mazurskie,26.2,22.6,19.0,19.9,23.2,22.5,8.8,13.4,19.1,16.0,15.7,15.2,15.9,24.4,20.0
Wielkopolskie,24.8,24.2,18.0,17.2,16.4,16.7,13.6,16.1,19.4,16.9,16.1,15.9,17.6,21.9,18.8
Zachodniopomorskie,25.0,25.4,21.6,17.9,18.9,19.7,10.9,14.7,20.2,17.7,19.5,19.9,20.0,23.2,20.5
