year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,0.021,0.122,0.003,0.008,0.051,0.010,0.000,0.007,0.040,0.004,0.005,0.030,0.057,0.005,0.007,0.006,0.026
2011,0.023,0.118,0.003,0.008,0.051,0.012,0.000,0.008,0.040,0.005,0.005,0.030,0.098,0.002,0.006,0.007,0.026
2012,0.023,0.109,0.003,0.008,0.054,0.011,0.005,0.016,0.031,0.007,0.005,0.033,0.093,0.002,0.006,0.007,0.027
2013,0.021,0.088,0.002,0.008,0.053,0.009,0.004,0.019,0.031,0.007,0.005,0.030,0.093,0.002,0.013,0.008,0.006
2014,0.021,0.095,0.003,0.008,0.056,0.009,0.005,0.008,0.027,0.006,0.005,0.033,0.095,0.002,0.006,0.007,0.024
2015,0.022,0.098,0.006,0.003,0.064,0.010,0.008,0.009,0.030,0.011,0.005,0.031,0.087,0.003,0.006,0.007,0.026
2016,0.022,0.085,0.007,0.003,0.067,0.011,0.011,0.010,0.027,0.013,0.005,0.029,0.086,0.003,0.006,0.010,0.026
2017,0.027,0.152,0.004,0.003,0.068,0.015,0.018,0.012,0.029,0.012,0.004,0.025,0.088,0.003,0.009,0.009,0.026
2018,0.023,0.095,0.004,0.004,0.068,0.011,0.017,0.007,0.032,0.013,0.004,0.026,0.088,0.003,0.010,0.009,0.031
2019,0.023,0.090,0.004,0.003,0.070,0.008,0.016,0.006,0.031,0.011,0.004,0.028,0.115,0.003,0.011,0.004,0.030
2020,0.025,0.101,0.004,0.001,0.071,0.008,0.020,0.006,0.039,0.010,0.004,0.031,0.116,0.010,0.016,0.005,0.032
2021,0.026,0.109,0.004,0.002,0.071,0.008,0.018,0.009,0.039,0.009,0.005,0.029,0.110,0.010,0.009,0.018,0.036
2022,0.025,0.107,0.005,0.002,0.046,0.008,0.019,0.008,0.037,0.010,0.005,0.027,0.117,0.010,0.009,0.019,0.031
2023,0.025,0.097,0.004,0.002,0.064,0.008,0.026,0.009,0.054,0.010,0.005,0.032,0.131,0.010,0.008,0.006,0.031
2024,0.027,0.096,0.004,0.002,0.064,0.008,0.025,0.010,0.038,0.038,0.005,0.036,0.124,0.011,0.008,0.005,0.032
