year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,58.0,57.0,57.2,58.2,57.5,56.5,59.5,57.6,57.8,59.7,58.9,58.0,58.4,58.5,57.1,58.2,57.6
2011,58.2,57.4,57.9,57.9,57.4,56.6,59.4,57.6,58.1,59.2,58.7,58.6,58.3,58.0,57.6,58.2,57.5
2012,58.5,58.0,58.4,57.7,57.8,56.8,59.6,57.9,58.6,58.7,58.0,58.6,58.4,57.9,57.8,58.3,57.9
2013,58.7,58.2,58.7,57.7,58.1,57.0,60.1,58.3,58.8,58.8,58.0,59.3,58.8,57.8,58.1,58.8,58.4
2014,58.9,58.6,58.9,57.6,58.6,58.4,60.4,59.6,59.4,58.5,57.9,59.5,59.3,57.9,58.7,59.0,58.8
2015,59.0,58.7,59.0,57.9,58.5,58.5,60.5,59.9,59.1,58.7,58.1,59.4,59.3,57.8,58.6,59.0,58.9
2016,59.6,58.9,59.6,58.5,59.3,59.5,61.0,60.6,59.4,59.5,58.7,60.1,59.9,58.5,59.1,60.0,59.6
2017,59.7,59.0,60.0,59.4,60.0,58.7,60.8,59.8,59.4,60.5,59.7,60.5,59.8,59.5,59.5,60.4,60.2
2018,59.8,58.9,59.8,59.5,60.5,58.6,60.6,59.7,59.7,60.6,59.8,60.4,59.6,59.5,59.3,61.2,60.9
2019,59.7,59.3,59.8,59.4,60.6,58.7,60.1,59.6,59.9,60.2,59.6,60.3,59.3,59.4,59.3,61.4,60.9
2020,59.2,58.6,59.5,58.8,60.6,58.1,59.4,59.2,59.2,59.7,59.2,59.9,58.6,58.7,59.2,61.2,60.7
2021,59.1,58.7,59.2,58.3,60.1,58.5,59.5,59.0,59.3,59.1,58.3,60.0,58.4,59.2,59.0,61.1,60.7
2022,60.1,60.1,60.2,59.0,61.4,59.1,60.6,60.1,60.5,59.8,59.2,60.4,59.5,59.5,59.8,62.1,61.6
2023,61.3,61.6,61.1,59.3,62.5,60.0,61.8,61.7,62.3,60.1,59.4,61.6,60.8,60.4,61.0,62.9,62.5
