REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,58.79,61.95,62.31,62.85,66.60,68.00,73.30,76.00,77.50,80.40,83.20,85.40,86.90,86.41
Dolnośląskie,62.46,62.86,60.05,61.90,70.30,71.22,72.80,76.10,73.50,81.80,86.40,89.70,89.20,89.25
Kujawsko-Pomorskie,56.29,58.45,60.52,63.67,66.40,57.63,70.60,75.50,78.20,82.20,85.30,87.50,89.60,84.11
Lubelskie,56.97,58.63,56.84,55.21,62.40,64.60,69.70,69.50,70.30,72.80,77.70,81.60,82.70,84.01
Lubuskie,64.36,67.45,59.94,54.00,61.70,72.93,73.30,73.40,78.40,83.60,76.90,78.50,84.70,82.15
Łódzkie,56.24,62.85,61.56,57.95,62.70,63.94,70.60,75.10,78.20,79.40,81.10,81.90,88.00,85.68
Małopolskie,57.04,63.00,64.70,62.58,66.00,64.81,73.60,72.60,76.40,77.30,80.80,82.50,86.90,88.38
Mazowieckie,64.39,65.73,67.92,69.37,71.10,73.41,76.90,78.70,79.90,81.70,86.80,91.10,88.70,89.14
Opolskie,65.08,71.00,62.13,58.36,68.50,69.05,75.50,80.10,76.60,81.90,81.60,79.40,79.00,87.53
Podkarpackie,51.84,56.76,56.15,61.40,62.90,65.57,72.40,74.80,76.70,78.40,79.30,81.00,81.50,85.08
Podlaskie,54.84,60.70,62.08,58.95,69.50,74.70,72.30,77.20,78.10,79.60,80.00,81.00,80.90,83.15
Pomorskie,66.84,68.15,65.09,70.87,72.30,72.84,76.50,79.80,83.00,86.20,86.10,89.80,92.30,89.13
Śląskie,59.05,62.40,65.81,63.04,65.70,67.24,75.10,77.60,78.00,83.60,86.20,86.60,88.90,89.23
Świętokrzyskie,44.09,45.15,49.54,59.18,61.80,61.41,65.90,73.40,73.30,82.70,79.10,77.70,82.00,77.40
Warmińsko-Mazurskie,54.30,58.73,61.23,61.12,65.20,66.88,69.70,77.50,77.00,77.90,83.10,84.20,85.20,82.61
Wielkopolskie,57.86,60.70,59.07,63.34,65.60,64.74,71.10,73.10,78.50,78.30,79.80,86.10,88.20,88.38
Zachodniopomorskie,59.37,62.17,66.11,63.49,65.50,75.97,79.30,83.30,77.60,78.10,87.60,87.90,87.20,79.88
