REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,,,,3.1,3.1,3.3,3.4,3.4,3.3,3.3,3.3
Dolnośląskie,,,,,,,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4
Kujawsko-Pomorskie,,,,,,,3.0,2.6,3.1,3.1,3.1,2.8,2.8,2.7
Lubelskie,,,,,,,4.4,4.3,4.9,5.2,4.6,4.3,4.2,4.2
Lubuskie,,,,,,,5.2,4.9,4.6,4.3,4.3,4.2,4.0,4.0
Łódzkie,,,,,,,2.3,2.5,2.5,2.4,2.4,2.4,2.4,2.5
Małopolskie,,,,,,,3.2,3.4,3.5,3.5,3.6,3.6,3.6,3.6
Mazowieckie,,,,,,,1.9,2.0,2.0,2.0,2.0,2.2,2.2,2.2
Opolskie,,,,,,,2.8,2.9,3.0,3.3,3.6,3.4,3.3,3.2
Podkarpackie,,,,,,,3.3,3.4,3.5,3.5,3.4,3.5,3.5,3.5
Podlaskie,,,,,,,3.2,3.3,3.5,4.5,4.5,4.5,4.5,4.6
Pomorskie,,,,,,,3.1,3.3,3.5,3.5,3.4,3.3,3.3,3.4
Śląskie,,,,,,,2.7,2.7,2.9,3.0,3.1,3.0,3.1,2.9
Świętokrzyskie,,,,,,,4.0,4.2,4.3,4.7,4.8,5.1,5.0,5.1
Warmińsko-Mazurskie,,,,,,,6.1,6.3,6.2,6.8,6.1,6.0,6.0,5.9
Wielkopolskie,,,,,,,3.9,4.0,4.2,3.8,4.1,4.1,4.2,4.1
Zachodniopomorskie,,,,,,,2.6,2.6,3.2,3.1,3.7,3.3,3.4,3.4
