year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,43.7,46.3,42.9,37.6,45.3,46.9,41.1,49.0,44.1,34.3,38.3,44.7,44.7,40.4,40.2,49.0,36.6
2011,43.1,43.8,41.3,38.3,43.2,45.2,40.1,48.7,43.9,34.0,39.8,44.8,45.9,38.6,40.0,47.4,37.8
2012,43.0,43.1,41.5,38.4,43.3,43.5,40.6,47.5,45.5,32.6,39.3,45.3,47.1,39.9,37.5,47.0,39.7
2013,42.6,43.3,41.2,37.7,41.5,44.9,41.3,46.0,42.8,33.0,38.3,44.5,46.1,39.8,36.2,47.7,39.5
2014,44.1,46.3,43.6,37.3,38.6,47.7,42.5,50.0,43.9,33.7,38.3,44.8,45.7,40.2,38.1,50.2,40.0
2015,44.7,46.1,45.0,36.3,42.2,47.2,44.0,49.5,45.1,33.8,39.9,48.6,46.1,40.4,38.7,51.5,41.6
2016,47.5,49.5,45.6,41.8,46.2,50.7,46.8,49.5,49.1,40.7,44.2,49.4,50.8,43.2,41.3,52.9,41.6
2017,48.8,47.9,48.0,42.6,47.3,52.3,44.8,50.6,51.6,43.3,46.8,51.5,52.1,45.5,44.0,55.3,45.1
2018,50.1,50.4,48.5,45.5,47.2,53.4,48.9,51.1,52.4,43.3,51.0,52.1,52.0,45.9,46.6,54.7,49.4
2019,50.8,55.2,49.8,43.1,47.7,49.2,51.3,53.7,51.8,43.3,47.3,54.4,53.4,43.9,44.4,55.4,47.0
2020,48.0,51.6,47.6,40.4,47.0,48.9,48.0,50.6,47.8,39.8,46.7,49.7,49.8,43.3,42.0,51.8,44.7
2021,48.2,50.4,44.0,43.4,46.9,47.0,45.9,51.2,52.4,39.3,44.1,51.0,49.9,43.8,42.9,56.7,45.0
2022,48.4,49.1,45.1,46.0,46.5,51.8,48.3,51.8,47.8,40.5,47.7,46.4,49.9,45.2,42.0,53.3,44.5
2023,49.0,53.3,43.4,46.6,46.1,51.7,49.9,52.3,48.8,41.7,47.4,47.4,51.0,43.8,44.4,51.3,46.0
2024,48.0,53.0,47.9,45.5,45.4,47.4,50.3,51.7,47.1,38.1,43.1,50.1,46.3,43.5,43.9,50.3,45.6
