REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,5099,5435,6281,7180,7742,7044,7235,7231,7719,7883,9046,8522,9786,16221
Dolnośląskie,3775,4190,4728,5419,5590,4877,5346,4855,5145,5224,6315,5412,6191,9391
Kujawsko-Pomorskie,5258,5536,6878,8093,8577,7301,7898,7385,7566,8076,9481,8626,10565,18778
Lubelskie,4581,5300,5849,6573,6861,5904,6742,6597,7037,6811,8572,7872,9083,13497
Lubuskie,3766,3985,4572,6090,5889,5683,5587,5315,5098,5173,5388,5887,5791,9194
Łódzkie,6151,6892,7368,7889,10080,8388,8896,8147,8641,8605,11765,10391,12508,22090
Małopolskie,4908,5834,6392,6214,7631,6658,7188,6691,7290,7106,8617,6996,8048,18313
Mazowieckie,6037,6494,7219,8980,9443,8902,9087,9520,9941,10107,12420,11880,13039,21419
Opolskie,5020,5543,6575,6926,7633,6285,6334,5865,6467,6366,7295,7258,8108,13313
Podkarpackie,3328,3537,3859,4490,4597,4146,4235,4373,4851,4467,5170,5008,5263,8611
Podlaskie,4512,5059,5700,6462,6698,6581,5921,6537,7168,7497,7836,8599,9603,14796
Pomorskie,4495,4811,5806,6303,7248,6140,6313,6435,6726,7001,7923,7419,8462,13088
Śląskie,5524,6072,7611,7658,8120,7848,8393,7963,8758,10810,9829,8893,8902,27076
Świętokrzyskie,4936,5980,6262,6802,7865,7420,7995,7968,9713,8508,10100,9098,9788,19210
Warmińsko-Mazurskie,4249,4273,5221,5319,5796,5440,5216,5641,5928,6098,6628,6309,7297,10983
Wielkopolskie,7430,6814,8448,10154,10446,10180,10356,10414,10989,11902,11943,11741,13887,21056
Zachodniopomorskie,3386,3492,4330,5017,5345,4751,4383,4152,4226,4710,5536,5092,7057,10011
