REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,,32.9,,,,34.3,,,,38.6,
Dolnośląskie,,,,,31.1,,,,34.5,,,,39.1,
Kujawsko-Pomorskie,,,,,40.4,,,,38.4,,,,33.4,
Lubelskie,,,,,31.8,,,,36.8,,,,35.2,
Lubuskie,,,,,29.7,,,,36.8,,,,40.8,
Łódzkie,,,,,31.1,,,,28.7,,,,33.6,
Małopolskie,,,,,27.9,,,,31.4,,,,35.8,
Mazowieckie,,,,,39.1,,,,38.9,,,,42.7,
Opolskie,,,,,23.8,,,,28.1,,,,33.8,
Podkarpackie,,,,,24.0,,,,26.3,,,,32.7,
Podlaskie,,,,,30.5,,,,34.7,,,,36.4,
Pomorskie,,,,,32.1,,,,31.2,,,,37.8,
Śląskie,,,,,39.4,,,,38.9,,,,47.2,
Świętokrzyskie,,,,,40.2,,,,37.6,,,,34.7,
Warmińsko-Mazurskie,,,,,33.0,,,,33.3,,,,38.7,
Wielkopolskie,,,,,34.9,,,,35.5,,,,44.4,
Zachodniopomorskie,,,,,34.8,,,,33.9,,,,36.0,
