REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,,,,,,,,0.14,0.13,0.14,0.13
Dolnośląskie,,,,,,,,,,,0.13,0.11,0.11,0.11
Kujawsko-Pomorskie,,,,,,,,,,,0.17,0.17,0.16,0.15
Lubelskie,,,,,,,,,,,0.17,0.16,0.16,0.15
Lubuskie,,,,,,,,,,,0.14,0.13,0.14,0.12
Łódzkie,,,,,,,,,,,0.13,0.13,0.12,0.12
Małopolskie,,,,,,,,,,,0.12,0.11,0.12,0.11
Mazowieckie,,,,,,,,,,,0.11,0.10,0.11,0.08
Opolskie,,,,,,,,,,,0.12,0.12,0.12,0.15
Podkarpackie,,,,,,,,,,,0.14,0.14,0.14,0.13
Podlaskie,,,,,,,,,,,0.16,0.16,0.17,0.17
Pomorskie,,,,,,,,,,,0.06,0.06,0.06,0.06
Śląskie,,,,,,,,,,,0.18,0.17,0.17,0.16
Świętokrzyskie,,,,,,,,,,,0.22,0.18,0.18,0.19
Warmińsko-Mazurskie,,,,,,,,,,,0.13,0.11,0.15,0.13
Wielkopolskie,,,,,,,,,,,0.17,0.16,0.16,0.16
Zachodniopomorskie,,,,,,,,,,,0.19,0.18,0.19,0.18
