REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,4.3,5.0,5.0,5.1,5.2,5.3,5.5,5.6,5.7,5.7,5.6,5.8,6.0,6.2,6.4
Dolnośląskie,4.0,4.6,4.7,4.6,4.6,4.6,5.2,5.3,5.5,5.6,5.3,5.4,5.6,5.8,6.0
Kujawsko-Pomorskie,3.2,3.6,3.6,3.6,3.7,3.9,4.0,4.1,4.4,4.4,4.4,4.5,4.9,5.2,5.4
Lubelskie,4.5,5.0,5.1,5.2,5.5,5.5,5.7,6.0,5.9,5.8,5.8,6.1,6.1,6.4,6.6
Lubuskie,4.5,5.1,5.2,5.2,5.4,5.4,5.7,5.8,5.7,5.7,5.7,5.8,5.9,6.4,6.4
Łódzkie,5.0,6.0,6.0,5.9,6.2,6.3,6.5,6.5,6.6,6.6,6.6,6.8,7.0,7.2,7.4
Małopolskie,4.2,4.8,4.9,5.1,5.2,5.4,5.6,5.7,5.8,5.7,5.7,5.9,6.1,6.3,6.4
Mazowieckie,3.8,4.7,4.7,4.8,4.9,5.1,5.4,5.6,5.6,5.7,5.6,5.8,6.2,6.5,6.7
Opolskie,4.3,4.9,5.1,5.2,5.3,5.4,5.5,5.5,5.7,5.6,5.5,5.5,5.8,6.2,6.3
Podkarpackie,4.2,4.9,5.0,5.1,5.3,5.3,5.6,5.8,5.8,5.9,6.0,6.2,6.0,6.2,6.5
Podlaskie,5.2,5.8,6.1,6.2,6.3,6.4,6.4,6.4,6.4,6.5,6.3,6.8,7.1,7.3,7.5
Pomorskie,3.4,3.9,3.9,4.0,4.1,4.1,4.3,4.4,4.8,4.8,4.7,4.9,5.1,5.3,5.6
Śląskie,5.3,5.9,5.9,5.9,6.1,6.1,6.3,6.3,6.1,6.2,6.1,6.0,6.2,6.4,6.6
Świętokrzyskie,3.9,4.2,4.2,4.4,4.5,4.6,4.8,5.0,5.1,5.2,5.3,5.3,5.6,5.7,5.9
Warmińsko-Mazurskie,4.9,5.5,5.5,5.6,5.7,5.8,6.1,6.1,6.0,6.1,6.2,6.4,6.4,6.7,6.8
Wielkopolskie,4.3,5.2,5.2,5.2,5.2,5.3,5.6,5.5,5.5,5.6,5.4,5.5,5.7,5.9,6.3
Zachodniopomorskie,4.5,5.1,5.2,5.2,5.4,5.4,5.7,5.7,5.9,5.4,5.3,5.7,6.1,6.3,6.7
