REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,5.64,5.68,5.88,6.86,9.22,11.14,11.12,10.44,8.96,8.71,2.50,3.27,6.68,8.67
Dolnośląskie,10.53,9.57,8.75,9.21,12.17,14.56,12.60,12.44,12.79,13.03,2.50,3.55,6.60,10.06
Kujawsko-Pomorskie,9.05,8.44,9.20,10.22,16.45,22.46,20.00,18.48,12.07,13.26,5.15,7.51,8.90,9.79
Lubelskie,5.41,4.37,5.99,7.13,4.88,9.94,8.24,8.36,6.98,8.29,1.99,3.52,6.65,9.37
Lubuskie,13.10,16.03,13.68,14.87,15.87,18.05,16.02,15.34,13.69,11.25,4.72,3.74,9.77,10.13
Łódzkie,7.34,7.76,11.31,9.65,14.71,14.73,15.67,13.06,12.35,9.47,2.97,2.99,6.54,9.32
Małopolskie,0.63,0.75,0.98,1.25,2.14,5.13,7.32,5.73,4.83,2.61,0.49,1.89,4.90,4.64
Mazowieckie,6.13,5.59,6.37,11.27,9.20,7.83,9.56,9.03,7.66,9.24,1.83,1.23,3.47,8.77
Opolskie,8.35,6.01,7.90,4.77,6.38,8.81,7.14,8.88,7.29,8.33,2.50,2.41,5.92,8.73
Podkarpackie,1.88,3.20,3.95,4.32,3.85,5.45,4.89,4.09,3.29,3.43,1.05,1.87,2.93,3.90
Podlaskie,2.49,8.15,5.50,3.09,5.11,9.49,9.94,10.63,8.96,9.84,1.90,3.47,6.72,9.21
Pomorskie,2.25,2.02,3.02,3.88,7.57,8.55,9.78,9.79,7.52,6.76,1.57,3.61,7.42,7.59
Śląskie,3.45,3.28,3.09,3.58,12.87,12.71,12.86,11.36,8.92,7.94,1.83,2.80,7.25,8.26
Świętokrzyskie,5.99,7.58,7.06,5.83,7.98,11.51,9.72,7.52,5.54,6.55,1.16,0.75,2.45,3.84
Warmińsko-Mazurskie,2.68,3.58,2.96,3.80,7.19,12.06,11.06,10.38,8.66,8.91,2.01,2.32,5.55,9.25
Wielkopolskie,10.58,9.19,7.92,10.51,11.33,11.74,10.90,12.17,11.89,11.53,6.35,7.94,10.33,11.92
Zachodniopomorskie,2.84,3.77,2.44,2.68,4.89,12.49,13.81,12.60,12.62,10.60,2.88,2.78,15.87,14.55
