year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,100.0,101.2,102.5,98.8,101.2,101.2,102.5,101.2,101.2,100.0,100.0,101.2,101.2,98.8,98.8,100.0,98.8
2011,100.0,100.0,100.0,98.7,102.7,101.3,102.7,101.3,100.0,100.0,102.7,100.0,101.3,101.3,97.3,100.0,97.3
2012,100.0,100.0,100.0,100.0,102.5,100.0,102.5,101.2,100.0,100.0,102.5,100.0,101.2,97.5,97.5,100.0,97.5
2013,100.0,100.0,101.2,98.8,102.5,100.0,103.7,100.0,100.0,100.0,101.2,100.0,101.2,97.5,98.8,100.0,97.5
2014,100.0,97.2,100.0,98.6,104.2,100.0,102.8,100.0,98.6,100.0,102.8,100.0,100.0,100.0,95.8,98.6,94.4
2015,100.0,98.7,98.7,98.7,102.7,100.0,104.0,101.3,101.3,101.3,101.3,98.7,102.7,101.3,96.0,98.7,94.6
2016,100.0,97.5,100.0,100.0,103.8,101.3,103.8,103.8,100.0,101.3,102.5,100.0,98.7,101.3,96.2,98.7,96.2
2017,100.0,96.9,99.4,99.1,101.7,101.3,105.2,102.3,98.8,99.2,102.4,99.5,98.5,99.8,94.4,99.4,94.5
2018,100.0,96.7,98.1,99.5,100.0,99.5,104.4,101.9,98.4,101.1,101.9,97.1,99.4,100.4,97.1,99.5,96.4
2019,100.0,97.8,97.3,99.5,98.8,99.2,105.3,101.7,99.8,100.6,104.1,97.6,99.1,99.2,96.0,100.0,95.7
2020,100.0,97.7,96.5,96.8,97.6,98.0,105.3,103.7,99.5,101.6,102.4,97.3,99.6,99.2,93.4,99.9,95.7
2021,100.0,96.1,94.1,98.1,96.9,97.7,104.8,106.3,97.8,100.3,109.4,96.0,97.7,100.0,96.1,99.6,94.0
2022,100.0,95.7,97.3,98.6,98.7,98.5,105.0,104.6,97.8,100.8,97.4,97.6,99.4,99.6,96.7,99.5,96.8
2023,,,,,,,,,,,,,,,,,
2024,100.0,98.2,98.5,98.8,98.8,99.2,103.5,101.7,96.3,100.0,98.0,98.8,100.2,102.0,100.4,98.7,98.3
