REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,3.53,3.30,3.96,3.91,3.77,3.69,3.55,3.86,3.85,3.71,3.51,3.58,3.65,3.81
Dolnośląskie,5.87,4.79,7.44,6.39,5.70,5.21,5.41,6.54,5.11,5.02,5.11,4.88,4.74,4.23
Kujawsko-Pomorskie,4.54,5.44,6.39,5.95,5.13,5.62,4.95,5.35,5.20,4.31,4.42,4.67,5.10,5.24
Lubelskie,2.57,2.34,2.39,3.44,3.17,3.36,3.46,2.85,3.60,2.89,2.81,3.03,2.88,3.93
Lubuskie,1.13,1.47,1.07,1.31,1.42,1.19,0.80,0.77,0.47,0.50,0.50,0.55,0.60,0.62
Łódzkie,2.81,2.22,2.49,2.48,2.01,2.08,2.02,2.55,2.81,3.46,3.56,3.52,3.68,4.14
Małopolskie,0.48,0.43,0.44,0.74,0.44,0.58,0.46,0.54,0.57,0.57,0.95,1.05,1.05,1.22
Mazowieckie,3.76,3.17,4.32,3.95,3.52,3.48,3.48,4.02,4.64,3.92,3.09,3.13,3.17,3.29
Opolskie,0.00,0.00,0.00,0.00,1.69,0.00,0.63,0.93,1.29,1.44,0.53,0.05,0.14,0.15
Podkarpackie,6.13,5.66,6.67,6.06,5.24,5.54,4.82,5.22,5.70,5.79,5.34,5.15,5.54,5.42
Podlaskie,6.31,7.13,7.59,7.71,8.43,7.13,7.56,7.80,8.44,6.99,7.04,7.25,7.59,7.64
Pomorskie,0.16,0.40,1.07,1.06,1.50,1.38,1.42,1.32,0.84,1.55,1.62,1.71,1.83,1.88
Śląskie,6.51,5.89,6.79,6.32,6.57,6.78,6.19,6.36,6.16,6.33,5.46,5.37,5.36,5.41
Świętokrzyskie,0.42,0.41,0.46,0.40,0.70,0.82,0.53,0.62,0.75,0.73,0.95,1.41,1.29,1.13
Warmińsko-Mazurskie,4.35,4.12,3.57,3.80,4.70,4.10,3.90,3.88,3.84,4.21,3.91,4.10,4.84,3.87
Wielkopolskie,1.82,1.77,2.63,3.52,2.74,2.32,2.82,3.29,2.67,2.81,3.24,3.34,2.81,4.00
Zachodniopomorskie,5.75,5.79,5.08,5.30,6.14,6.58,5.64,6.08,6.61,5.70,5.43,6.28,7.08,7.19
