year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,1.62,1.79,2.06,1.27,1.36,1.66,1.18,0.99,2.64,0.94,0.91,1.48,2.88,2.21,0.80,1.63,1.91
2011,1.49,1.41,1.94,1.12,1.23,1.55,1.17,0.93,2.43,0.92,0.81,1.22,2.75,2.15,0.81,1.50,1.67
2012,1.36,1.37,1.85,0.97,1.14,1.36,1.17,0.87,2.11,0.80,0.77,1.21,2.29,2.13,0.82,1.34,1.51
2013,1.29,1.28,1.62,0.95,1.09,1.26,1.07,0.85,1.89,0.80,0.73,1.04,2.30,1.91,0.73,1.29,1.50
2014,1.23,1.13,1.79,0.89,1.00,1.10,0.90,0.85,1.87,0.67,0.78,0.96,2.23,1.73,0.66,1.34,1.51
2015,1.15,0.96,1.26,0.92,0.87,1.12,0.84,0.73,1.53,0.64,0.77,0.98,2.22,1.55,0.70,1.41,1.37
2016,1.00,0.84,0.95,0.81,0.91,0.91,0.61,0.52,1.26,0.62,0.69,0.81,2.00,1.49,0.57,1.41,1.43
2017,0.93,0.66,0.95,0.80,0.86,0.94,0.61,0.51,1.12,0.60,0.59,0.66,1.89,1.41,0.53,1.14,1.34
2018,0.83,0.60,1.00,0.68,0.82,1.01,0.54,0.48,1.27,0.56,0.58,0.44,1.73,1.45,0.47,0.61,1.28
2019,0.71,0.48,1.00,0.63,0.73,0.78,0.48,0.45,1.25,0.49,0.56,0.36,1.23,1.45,0.44,0.55,1.10
2020,0.59,0.44,0.87,0.63,0.56,0.67,0.32,0.40,1.09,0.41,0.43,0.29,0.99,1.14,0.37,0.49,0.99
2021,0.58,0.48,0.92,0.58,0.62,0.67,0.34,0.36,1.26,0.43,0.43,0.30,0.97,1.10,0.40,0.41,0.89
2022,0.53,0.46,0.91,0.52,0.51,0.65,0.32,0.33,1.10,0.43,0.38,0.26,0.81,0.98,0.46,0.39,0.79
2023,0.42,0.33,0.82,0.44,0.38,0.48,0.24,0.27,0.88,0.33,0.31,0.20,0.70,0.73,0.30,0.28,0.65
