year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,61950,3207,980,0,4856,4941,4,763,0,4887,3260,389,651,10764,804,22134,4310
2011,105780,1369,139,2468,4726,2589,875,4543,29404,1218,10371,2489,3046,9401,1385,31005,752
2012,66535,451,2623,5392,45,4677,1583,17695,0,5216,4672,788,2747,1919,7448,8822,2457
2013,110290,204,445,239,35,473,0,26806,2181,3787,13058,0,2724,1618,317,55715,2688
2014,128558,2419,95,5115,2575,10598,21819,26157,0,3329,10587,0,5727,487,7364,26040,6246
2015,73572,3641,1854,1600,2409,9081,632,20899,0,10162,1174,0,3368,22,7022,5137,6571
2016,17743,1034,0,1600,3178,176,168,2217,106,402,1064,0,348,41,91,7260,58
2017,,,,,,,,,,,,,,,,,
2018,106277,37346,1339,1929,0,1532,131,684,0,1301,119,5183,2393,382,1037,37685,15216
2019,201401,3579,0,12259,55,47759,136,14941,5,25378,8564,3030,14100,13778,0,7900,49917
2020,238929,103480,3238,2475,7768,2296,1556,3582,38028,4353,21929,189,6946,684,5573,32766,4066
2021,47623,0,4363,15297,982,83,914,4062,1443,1273,1056,4133,1682,979,2567,8172,617
2022,58370,0,8139,2151,0,883,91,4127,160,4408,9929,10113,1330,5674,4149,7216,0
2023,730624,13175,32298,10156,3517,3601,15803,4301,2608,11462,20762,22291,36147,6699,62741,468494,16568
2024,142024,76,718,4118,3665,5096,3105,69984,1637,12921,6636,3554,16873,1729,500,11412,0
