REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,66,66,69,71,73,74,75,77,80,84,89,93,97,101,104
Dolnośląskie,75,75,78,81,83,85,86,89,93,98,102,107,112,116,121
Kujawsko-Pomorskie,64,64,66,69,70,71,72,73,76,80,85,89,92,95,99
Lubelskie,49,49,51,53,55,56,57,58,61,64,69,73,76,80,83
Lubuskie,71,72,74,78,78,77,79,80,83,88,93,98,101,105,108
Łódzkie,60,61,63,65,66,67,69,70,73,77,81,85,89,92,95
Małopolskie,68,68,70,72,74,75,76,78,82,87,90,95,99,103,106
Mazowieckie,71,71,74,77,79,81,82,84,88,92,95,100,104,109,114
Opolskie,67,67,68,71,71,72,72,73,74,78,83,86,89,92,95
Podkarpackie,51,51,52,54,55,57,58,59,62,65,69,72,75,78,81
Podlaskie,48,48,51,53,55,56,57,58,60,64,69,72,76,79,83
Pomorskie,77,77,79,82,84,87,88,91,95,99,103,108,112,117,121
Śląskie,78,77,79,81,82,83,84,85,87,91,95,99,102,105,109
Świętokrzyskie,56,55,57,59,60,61,63,64,67,70,75,79,82,84,87
Warmińsko-Mazurskie,53,54,56,58,60,61,61,63,66,70,76,80,84,87,91
Wielkopolskie,76,77,80,83,86,88,89,91,95,100,104,109,113,117,121
Zachodniopomorskie,87,85,88,90,91,93,94,95,98,103,110,114,118,122,127
