year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,17.5,19.4,16.5,15.4,20.7,15.5,21.8,14.4,15.2,12.9,17.7,17.0,21.7,15.3,18.2,16.0,22.1
2011,19.0,24.3,15.4,14.9,19.4,17.5,26.7,14.7,14.4,15.9,15.7,21.4,22.2,19.4,17.3,16.8,19.5
2012,20.0,25.2,15.1,16.3,16.9,18.1,28.1,16.3,16.0,17.7,17.3,22.4,22.4,19.7,18.4,17.5,20.5
2013,21.0,26.0,14.7,17.3,17.1,19.1,29.1,17.3,16.5,19.0,18.8,23.2,23.6,21.1,18.2,19.0,22.4
2014,22.8,28.6,16.1,20.2,21.1,19.9,30.5,18.7,18.7,22.6,18.5,24.3,26.3,23.1,19.1,20.3,23.2
2015,26.8,33.5,19.5,23.1,25.3,22.7,37.1,20.7,20.7,28.7,23.5,27.9,29.0,30.7,24.3,25.3,25.4
2016,28.6,35.8,18.7,26.1,27.5,25.4,38.2,22.4,23.6,30.7,25.3,29.2,30.4,31.6,25.9,26.7,28.2
2017,28.7,33.8,17.6,26.4,28.6,26.3,38.2,23.5,24.0,31.1,28.6,29.8,29.6,30.2,23.5,26.6,28.8
2018,28.5,35.8,17.4,26.7,26.7,25.5,39.4,24.0,22.4,29.3,26.8,28.5,28.2,28.7,22.0,26.4,28.4
2019,27.5,35.0,16.2,24.3,28.3,25.0,39.4,23.3,24.2,28.8,26.0,26.7,25.1,23.5,21.7,26.2,25.9
2020,25.1,34.4,14.4,21.7,23.5,24.9,36.2,20.5,19.2,28.1,24.0,20.9,22.9,24.5,19.1,24.8,23.7
2021,24.7,31.3,14.3,23.0,25.3,26.0,34.4,20.6,19.9,28.4,24.3,21.1,22.7,23.3,18.0,24.3,23.1
2022,24.1,30.6,15.6,22.8,22.7,22.8,34.1,20.0,20.1,26.5,22.9,19.9,22.4,24.6,17.7,24.5,21.0
2023,23.1,29.3,14.1,21.6,25.4,22.1,32.9,18.6,19.4,28.3,20.2,18.6,21.9,22.3,17.3,23.6,20.6
2024,22.9,29.2,14.4,21.9,25.9,21.6,31.9,18.9,20.2,28.4,21.1,17.9,21.3,22.5,16.1,24.1,20.3
