REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,3.9,4.4,4.8,4.3,4.2,4.7,4.8,4.9,5.4,5.9,4.8,5.2,6.0,7.1
Dolnośląskie,6.0,6.4,5.6,5.9,6.2,6.6,6.4,6.0,6.1,7.4,5.2,5.6,5.6,6.5
Kujawsko-Pomorskie,4.8,4.6,4.7,3.0,3.1,3.1,3.1,3.1,3.2,3.1,2.8,4.5,4.8,5.0
Lubelskie,4.3,4.0,4.1,4.8,4.7,5.6,4.9,5.5,6.8,7.3,4.8,6.5,7.1,7.7
Lubuskie,6.5,6.4,7.0,6.9,6.1,7.4,8.4,7.5,7.4,6.9,5.9,6.0,6.4,6.4
Łódzkie,0.7,0.8,0.8,0.8,1.1,0.6,0.1,0.1,0.3,0.5,1.1,1.3,2.8,5.3
Małopolskie,2.9,3.9,6.1,5.6,5.6,6.0,5.8,5.6,6.6,6.5,5.7,5.9,6.9,7.7
Mazowieckie,5.2,5.0,5.6,5.0,4.1,5.6,6.0,5.6,5.8,5.1,3.6,4.2,5.5,7.4
Opolskie,6.6,5.5,9.3,4.0,6.0,4.0,3.1,5.2,5.1,9.1,9.6,9.0,8.4,10.2
Podkarpackie,4.5,5.7,5.5,6.1,6.3,6.6,8.3,6.0,6.9,9.4,8.1,7.8,8.7,9.2
Podlaskie,3.7,4.4,4.2,5.5,5.8,8.0,8.7,9.6,1.9,2.2,1.8,2.2,8.8,10.9
Pomorskie,7.2,10.2,10.6,9.7,10.5,10.9,10.8,10.4,10.5,11.1,8.8,9.8,10.2,12.5
Śląskie,2.7,3.4,3.2,0.5,0.6,0.7,0.9,3.2,5.8,5.4,4.7,5.0,5.3,5.9
Świętokrzyskie,2.8,4.2,5.6,4.4,2.8,4.3,5.2,6.8,10.4,11.1,9.5,10.1,12.5,13.6
Warmińsko-Mazurskie,3.4,4.8,4.7,5.8,3.6,5.1,5.5,5.2,5.1,4.9,4.4,4.4,5.5,5.6
Wielkopolskie,0.9,1.4,2.0,2.0,1.8,1.7,1.4,1.4,1.0,3.2,1.7,1.6,2.0,2.4
Zachodniopomorskie,3.3,4.0,2.5,4.8,4.9,5.3,5.5,4.8,5.3,5.9,5.5,5.3,5.2,6.7
