REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,2.1,2.5,3.0,3.4,3.8,3.5,3.0,2.6,2.5,2.7,2.7,,,3.1
Dolnośląskie,2.8,3.2,3.6,3.4,3.6,3.0,2.6,2.4,2.5,2.5,2.6,,,3.3
Kujawsko-Pomorskie,0.6,0.6,0.7,0.8,1.0,0.9,0.8,0.6,0.5,0.6,0.6,,,0.6
Lubelskie,1.7,1.7,2.0,2.3,2.4,2.0,1.8,1.6,1.6,1.7,1.8,,,1.8
Lubuskie,4.4,4.9,6.5,8.7,10.1,10.1,8.2,7.0,6.9,7.2,6.8,,,7.9
Łódzkie,0.4,0.5,0.6,0.7,0.9,0.9,0.8,0.7,0.7,0.7,0.8,,,0.9
Małopolskie,3.0,3.0,3.3,2.7,2.7,2.2,1.9,1.6,1.4,1.4,1.2,,,1.3
Mazowieckie,1.3,1.5,1.9,2.4,2.7,2.3,2.0,1.8,1.5,1.7,1.7,,,2.0
Opolskie,0.4,0.3,0.3,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.6,,,0.4
Podkarpackie,4.1,4.2,4.3,4.4,3.6,2.5,2.2,2.2,2.1,2.1,2.0,,,1.8
Podlaskie,1.8,2.9,3.6,4.2,4.8,4.6,4.2,4.2,3.9,3.8,3.9,,,5.1
Pomorskie,1.6,2.2,2.8,2.9,3.4,2.9,2.6,2.2,1.9,2.3,2.3,,,2.4
Śląskie,0.9,1.0,1.5,1.5,1.9,1.6,1.2,0.8,0.6,0.7,0.7,,,0.8
Świętokrzyskie,1.8,2.1,2.3,2.5,2.4,2.2,1.9,1.7,1.6,1.6,1.4,,,1.5
Warmińsko-Mazurskie,3.4,4.9,6.5,7.3,9.0,9.3,8.4,8.6,8.0,8.6,7.9,,,9.0
Wielkopolskie,1.2,1.4,1.6,1.9,2.1,1.8,1.4,1.1,1.1,1.2,1.2,,,1.4
Zachodniopomorskie,6.8,8.2,10.4,11.8,13.9,12.4,9.6,8.2,8.0,8.5,8.2,,,9.9
