year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,,,,,,,,,,,,,,,,,
2011,14204,14132,13838,14156,13770,13875,15027,13601,13399,15019,15171,13595,13883,14613,14946,14764,14247
2012,14487,14637,14531,14764,13825,14033,15433,14058,13689,15469,15468,13506,13959,14783,14809,15005,14030
2013,14420,14617,14382,14777,14490,13902,15128,14212,13080,15166,15582,13272,13677,14839,15223,14736,14404
2014,13761,14015,13759,13869,12809,13593,14165,13578,12706,14575,14193,12993,13473,13873,13802,14144,13869
2015,13527,13443,13521,13553,12980,13375,14054,13353,12497,14209,13607,12754,13381,13593,13479,13982,13865
2016,13447,13579,13270,13367,12898,13358,14071,13208,12254,14268,13434,12646,13457,13408,13486,13914,13429
2017,13162,13158,12760,13134,12356,13130,13612,12888,11767,14052,13191,12457,13323,13336,13146,13655,13427
2018,13145,13396,12856,13034,11813,13192,13494,12947,11797,13913,13312,12572,13089,13141,13146,13667,13561
2019,13671,13717,13816,13890,12862,13636,13826,13762,12697,13915,13340,13431,13310,13929,13613,14117,13507
2020,13167,13331,13326,13362,12594,13403,13352,12969,12318,13369,12812,13041,12763,13212,13445,13595,13430
2021,13386,13656,13498,13566,12971,13649,13471,13383,12526,13375,12772,13257,12782,13304,13530,13990,13627
2022,14395,14798,14503,14315,13744,14659,14196,14726,13544,14060,13463,14539,13728,13858,14533,15119,14615
2023,14892,15205,15182,14711,14324,15337,14526,14959,14472,14550,14125,14980,14351,14368,15177,15709,15459
2024,14450,13996,14783,13092,13455,14544,14193,15480,13836,14132,13801,14689,13793,14314,13015,15377,15128
