REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,123,128,126,118,110,103,95,101,85,82,77,78,77,78,78
Dolnośląskie,139,147,142,137,126,120,115,120,104,108,99,103,100,101,98
Kujawsko-Pomorskie,104,110,111,103,95,84,78,82,69,67,61,63,60,64,62
Lubelskie,136,139,131,127,114,106,97,100,89,87,83,86,87,85,86
Lubuskie,73,67,65,59,51,47,42,39,31,31,31,29,29,30,28
Łódzkie,131,120,115,103,96,88,77,85,75,70,63,67,66,68,68
Małopolskie,145,164,167,161,156,149,144,158,128,120,107,110,108,107,107
Mazowieckie,153,157,160,149,145,131,124,131,113,107,101,105,101,102,107
Opolskie,108,113,117,108,97,85,74,78,61,58,54,57,59,54,54
Podkarpackie,98,102,95,96,91,89,85,78,70,66,64,63,64,60,58
Podlaskie,124,127,122,117,101,91,79,84,75,71,68,64,61,65,63
Pomorskie,105,120,128,122,114,106,101,113,93,91,86,86,85,89,88
Śląskie,105,111,105,97,91,85,74,84,68,66,63,64,66,67,69
Świętokrzyskie,100,111,110,103,81,78,64,69,57,55,46,45,42,46,42
Warmińsko-Mazurskie,99,100,104,86,79,71,64,67,58,54,54,51,48,45,45
Wielkopolskie,135,134,128,121,114,110,98,105,88,81,80,80,80,78,78
Zachodniopomorskie,115,109,101,91,85,77,70,70,56,52,49,50,49,46,46
