REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,72.1,72.4,72.7,73.1,73.8,73.6,73.9,74.0,73.8,74.1,72.6,71.8,73.4,74.7
Dolnośląskie,71.7,72.1,72.3,72.5,73.1,73.2,73.5,73.5,73.2,73.5,72.1,71.4,72.9,74.3
Kujawsko-Pomorskie,71.4,72.2,72.8,72.9,73.4,73.5,73.7,74.0,73.5,73.7,72.4,71.3,73.3,74.1
Lubelskie,71.2,71.7,72.4,72.7,73.2,73.3,73.6,73.6,73.5,73.9,72.3,71.3,73.2,74.3
Lubuskie,71.5,71.5,72.3,72.2,73.3,72.8,73.0,73.4,73.0,72.9,71.8,70.5,72.6,74.1
Łódzkie,70.1,70.4,70.6,70.7,71.7,71.4,72.0,71.9,72.0,72.5,71.1,70.6,72.1,73.2
Małopolskie,73.7,73.9,74.0,74.8,75.3,75.1,75.3,75.4,75.3,75.3,73.8,73.5,74.9,76.2
Mazowieckie,72.6,72.7,72.9,73.4,74.0,74.0,74.1,74.0,74.0,74.3,72.8,71.6,73.8,74.8
Opolskie,73.0,73.4,73.1,73.5,74.5,73.8,74.4,74.1,74.7,74.5,73.0,72.4,73.6,75.3
Podkarpackie,73.7,74.1,74.3,74.8,75.1,74.9,75.4,75.6,75.6,75.4,73.7,72.7,74.7,76.1
Podlaskie,72.5,73.3,73.1,73.2,74.0,73.8,74.2,74.2,74.1,74.3,73.1,71.5,73.7,74.8
Pomorskie,73.0,73.4,73.3,74.1,74.4,74.2,74.5,74.8,74.7,74.8,73.3,72.7,73.8,75.2
Śląskie,71.6,71.9,72.0,72.4,73.2,73.0,73.5,73.4,73.5,73.8,72.3,71.3,72.8,74.3
Świętokrzyskie,71.8,72.0,72.7,72.8,73.7,73.0,73.7,73.8,73.6,73.8,72.0,71.6,72.9,73.9
Warmińsko-Mazurskie,71.3,71.5,71.7,71.9,73.1,72.7,72.7,73.0,72.5,73.0,72.0,70.8,72.5,74.0
Wielkopolskie,72.5,72.9,73.2,73.5,74.0,73.7,74.2,74.1,74.0,74.3,72.8,72.1,73.6,74.8
Zachodniopomorskie,71.3,71.8,72.6,72.7,73.6,73.5,73.5,73.7,73.6,73.6,72.1,71.5,72.8,74.1
