REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,1.9,2.2,2.5,3.0,3.5,3.6,3.9,4.5,5.0,5.5,5.9,6.3,6.9,7.4
Dolnośląskie,,2.5,3.0,3.0,3.9,4.0,3.5,3.8,4.5,5.1,5.6,5.4,6.2,6.6,7.3
Kujawsko-Pomorskie,,2.5,2.8,3.2,4.3,5.0,5.2,5.3,5.8,6.2,6.8,7.7,8.2,9.0,9.6
Lubelskie,,1.0,1.1,1.4,1.7,2.2,2.5,2.7,3.0,3.6,4.1,4.4,4.6,4.9,5.2
Lubuskie,,1.9,2.6,2.9,3.3,3.8,3.7,4.1,4.3,4.6,5.1,5.3,5.4,6.2,6.6
Łódzkie,,1.6,2.1,2.6,3.0,3.2,3.5,4.0,4.2,4.8,5.2,5.7,6.2,6.5,7.0
Małopolskie,,1.3,1.6,1.8,2.1,2.4,2.7,3.3,3.6,4.2,5.1,5.5,6.0,8.1,8.9
Mazowieckie,,2.1,2.5,2.6,3.1,3.6,4.0,4.4,5.6,6.6,7.2,7.6,8.0,8.5,9.0
Opolskie,,2.7,3.1,2.7,3.0,3.2,3.3,3.5,4.4,5.4,5.9,6.2,6.8,7.1,7.3
Podkarpackie,,1.1,1.8,1.6,2.1,3.2,3.0,3.3,3.5,3.6,3.8,4.0,4.2,4.5,4.9
Podlaskie,,0.9,1.1,1.1,1.6,2.2,2.3,2.6,2.9,3.1,3.6,3.9,4.1,4.4,4.6
Pomorskie,,2.7,3.3,4.3,5.4,5.7,6.0,6.3,6.8,7.3,8.1,8.5,8.9,9.0,9.3
Śląskie,,4.5,5.1,4.8,5.3,5.9,6.3,6.7,7.6,8.5,9.7,10.4,11.2,12.0,13.2
Świętokrzyskie,,0.8,0.9,1.2,1.4,1.9,2.0,2.0,2.4,2.8,3.4,3.6,3.8,4.3,4.6
Warmińsko-Mazurskie,,0.9,1.0,1.1,1.6,2.0,2.1,2.1,2.3,2.6,2.8,3.1,3.3,3.6,4.0
Wielkopolskie,,2.3,2.8,3.5,3.9,4.2,4.5,4.9,6.1,6.6,7.2,7.8,8.7,9.4,10.3
Zachodniopomorskie,,1.7,2.0,2.3,2.7,3.0,3.2,3.3,3.7,3.9,4.4,4.8,5.4,5.7,5.9
