REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,42.2,42.7,43.0,43.0,40.0,38.4,41.8,43.5,45.1,45.8,49.3,54.5,54.3,52.9
Dolnośląskie,43.6,41.6,45.9,43.9,42.8,41.1,43.0,41.9,46.0,50.1,50.0,65.9,68.7,70.9
Kujawsko-Pomorskie,36.2,39.9,36.8,39.9,28.8,23.9,39.9,43.3,45.5,47.9,47.4,56.9,57.1,55.5
Lubelskie,39.3,40.8,35.0,38.3,37.7,32.0,27.3,32.5,26.9,26.2,35.9,43.5,46.9,51.5
Lubuskie,40.6,43.6,40.0,41.7,31.4,26.7,40.8,39.9,44.0,50.1,54.1,53.6,58.0,51.8
Łódzkie,57.6,59.3,60.9,61.1,57.7,57.7,56.5,59.2,59.8,64.9,69.2,72.1,67.0,64.4
Małopolskie,34.1,34.7,35.0,35.1,32.7,34.1,37.3,34.6,35.2,35.7,37.9,42.4,41.8,40.7
Mazowieckie,46.6,47.8,48.6,47.3,44.2,42.8,44.1,46.3,44.8,42.9,47.3,47.6,43.7,44.5
Opolskie,37.6,37.1,40.3,40.6,40.9,33.9,28.1,40.0,49.8,57.9,67.9,57.0,55.1,52.6
Podkarpackie,29.3,33.5,29.5,31.0,24.1,18.4,32.1,33.7,35.7,39.1,41.2,38.7,41.1,39.8
Podlaskie,42.0,42.0,40.9,41.5,43.6,43.6,45.8,42.5,45.8,43.3,47.9,50.4,40.3,31.6
Pomorskie,40.0,37.4,42.7,41.7,42.7,41.8,43.6,47.0,50.5,49.7,53.4,53.3,60.9,55.2
Śląskie,52.8,51.7,54.2,53.9,50.5,51.7,55.3,58.8,61.6,61.4,64.0,72.0,72.7,69.1
Świętokrzyskie,41.0,40.9,39.0,34.6,32.3,20.9,27.4,33.8,28.5,27.0,34.8,54.5,53.6,51.1
Warmińsko-Mazurskie,32.3,34.3,42.3,36.8,38.4,40.3,47.0,47.4,52.1,51.8,52.7,60.6,55.8,55.6
Wielkopolskie,36.9,37.0,33.6,36.7,32.9,31.3,31.4,31.9,35.6,35.8,37.5,43.8,45.4,45.9
Zachodniopomorskie,42.9,42.4,41.5,41.0,38.7,42.0,46.2,45.8,47.5,46.0,52.9,62.1,61.0,56.8
