REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,x,x,x,x,x,x,x,x,x,x,111405.1,104753.7,85900.6,76982.1,65388.8
Dolnośląskie,,,,,,,,,,,x,x,x,x,x
Kujawsko-Pomorskie,,,,,,,,,,,x,x,x,x,x
Lubelskie,,,,,,,,,,,x,x,x,x,x
Lubuskie,,,,,,,,,,,x,x,x,x,x
Łódzkie,,,,,,,,,,,x,x,x,x,x
Małopolskie,,,,,,,,,,,x,x,x,x,x
Mazowieckie,,,,,,,,,,,x,x,x,x,x
Opolskie,,,,,,,,,,,x,x,x,x,x
Podkarpackie,,,,,,,,,,,x,x,x,x,x
Podlaskie,,,,,,,,,,,x,x,x,x,x
Pomorskie,,,,,,,,,,,59122.9,55693.7,54949.6,51604.6,45664.7
Śląskie,,,,,,,,,,,x,x,x,x,x
Świętokrzyskie,,,,,,,,,,,x,x,x,x,x
Warmińsko-Mazurskie,,,,,,,,,,,478.8,2041.4,2698.2,1545.5,2166.9
Wielkopolskie,,,,,,,,,,,x,x,x,x,x
Zachodniopomorskie,,,,,,,,,,,51803.4,47018.7,28252.8,23832.0,17557.2
