REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,30.6,31.6,32.2,32.5,33.1,33.4,33.3,33.8,33.3,32.9,33.7,35.9,36.2,36.4,36.7
Dolnośląskie,31.8,32.1,33.2,32.5,32.6,33.3,34.3,33.9,33.6,33.6,33.7,35.2,35.7,36.3,35.1
Kujawsko-Pomorskie,30.1,30.8,33.5,33.5,33.4,33.5,33.4,33.2,33.5,32.8,32.7,36.1,36.9,37.3,37.8
Lubelskie,31.3,32.4,32.4,32.8,33.9,34.7,32.8,33.1,33.0,32.6,34.0,35.7,36.7,35.2,35.9
Lubuskie,32.3,31.8,31.4,33.1,33.4,34.2,35.2,34.4,34.0,33.6,33.9,33.8,35.9,37.3,36.4
Łódzkie,30.3,31.9,32.7,34.0,35.2,33.7,33.5,34.7,34.5,32.3,33.4,35.5,37.1,35.9,36.7
Małopolskie,26.1,27.2,28.1,28.9,29.7,30.7,30.5,32.1,31.1,31.1,32.8,35.1,33.7,34.8,35.7
Mazowieckie,34.4,36.0,37.5,37.5,38.2,37.5,36.8,37.5,38.1,37.6,38.2,40.5,40.5,40.6,41.5
Opolskie,29.8,31.3,32.4,31.9,33.0,33.2,33.3,35.1,34.4,33.7,34.8,37.4,36.4,37.2,36.6
Podkarpackie,24.7,25.5,26.3,26.7,26.9,28.0,30.4,30.8,29.8,29.8,31.2,33.2,32.9,33.2,33.2
Podlaskie,30.5,32.8,33.8,34.0,35.2,34.8,34.2,34.9,34.2,34.3,35.4,38.0,38.0,39.6,38.5
Pomorskie,33.6,32.4,32.4,34.2,33.6,36.3,36.5,36.8,35.4,36.7,37.4,38.5,38.6,38.4,38.7
Śląskie,27.4,29.2,29.2,29.7,30.7,30.1,29.0,29.8,28.5,27.2,28.1,31.6,31.2,32.3,33.1
Świętokrzyskie,31.3,32.2,32.8,30.7,31.2,32.4,32.3,32.5,30.9,30.4,32.3,35.7,36.2,36.8,35.7
Warmińsko-Mazurskie,31.2,30.7,30.6,31.2,30.6,32.0,33.5,33.7,32.9,33.2,34.3,35.1,36.4,36.3,36.0
Wielkopolskie,32.6,33.9,33.9,33.4,32.8,34.2,35.2,35.8,34.7,34.3,33.7,36.6,37.4,37.1,37.5
Zachodniopomorskie,32.1,31.0,32.1,32.9,34.2,33.0,32.5,32.8,33.4,32.9,34.1,34.8,35.4,35.1,35.2
