year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,51.9,51.7,54.3,49.6,53.4,50.3,53.1,48.3,52.9,51.6,47.4,53.3,54.2,50.2,53.0,56.0,52.0
2011,53.5,53.2,56.0,50.8,55.3,51.3,54.3,49.5,54.5,52.9,48.1,56.8,56.1,51.6,54.4,58.1,53.8
2012,51.4,51.0,54.1,49.1,52.3,49.6,52.2,47.8,52.1,50.6,45.9,54.8,54.7,49.1,52.1,55.0,52.3
2013,51.0,50.7,53.9,48.4,52.8,48.8,51.4,47.2,52.4,50.2,45.6,54.9,53.4,48.6,51.7,55.1,52.1
2014,51.5,51.4,55.1,48.2,53.0,49.2,52.4,47.8,52.6,51.0,45.5,55.9,53.6,48.5,52.0,56.6,52.7
2015,52.2,51.6,56.3,48.7,54.0,49.8,53.7,48.3,54.6,51.5,45.3,57.4,54.3,49.4,52.8,57.7,54.0
2016,53.3,52.9,57.5,49.4,56.5,50.7,54.2,49.7,55.6,52.4,45.6,60.0,55.6,50.7,54.2,58.8,55.3
2017,55.1,54.2,59.9,51.0,58.9,51.8,56.3,51.2,57.6,53.4,47.2,62.3,57.6,52.0,56.4,60.8,58.1
2018,56.0,55.6,60.9,51.9,59.1,53.3,57.6,52.1,58.9,54.3,47.6,63.2,58.4,52.7,57.8,61.8,59.0
2019,55.3,54.9,60.2,51.9,58.9,53.1,56.8,51.6,57.7,53.4,47.5,62.8,56.6,52.7,58.0,60.4,58.1
2020,53.7,53.3,58.4,50.6,56.6,51.1,54.4,50.6,55.3,52.7,46.4,59.2,54.8,51.4,55.2,58.3,54.8
2021,53.8,53.0,59.1,50.3,56.9,50.3,54.4,50.5,56.7,53.2,46.0,60.0,54.7,51.7,56.4,59.4,55.9
2022,53.7,52.7,58.9,50.6,55.3,51.1,54.9,50.6,56.5,52.3,45.6,60.8,54.8,51.1,54.9,58.6,56.3
2023,52.6,51.8,57.5,49.3,54.4,50.4,54.2,49.1,54.7,51.3,44.5,59.7,53.8,50.6,53.4,58.4,54.2
2024,51.6,51.0,56.2,48.7,53.2,49.7,52.7,48.3,53.3,50.5,43.4,58.1,52.2,49.2,52.4,57.3,53.5
