year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,2825125,274098,170018,180808,75643,205087,207344,416366,65781,115402,93495,136573,362132,98601,108031,173367,142379
2011,2826917,264543,170924,171263,76988,217623,215494,409931,62660,131615,87542,143600,346255,103817,105610,176791,142261
2012,2828461,273085,172179,169631,76722,198173,214964,400544,63940,135503,83933,152700,344629,105588,110688,185585,140597
2013,2965264,297764,157793,175237,80880,218166,211706,440031,62117,135861,89328,158133,358921,111398,119852,188479,159598
2014,3093063,304815,185402,179875,82650,217056,221441,460081,64012,140345,90670,158743,389235,119121,127262,181908,170447
2015,3148947,304809,187612,185442,85184,212133,224701,465932,65929,141329,90926,167496,408636,120237,132077,181968,174536
2016,3152509,296485,183777,191168,79167,207863,231577,471944,68038,142703,88769,163004,404806,124131,131549,191389,176139
2017,3192560,300731,184143,193429,78256,205223,233568,477452,71490,143188,83528,166901,418530,129970,127550,201519,177082
2018,3152090,286654,186485,192039,71235,204607,236593,458232,73463,140995,85067,166094,410912,130490,127813,199505,181906
2019,3099920,279637,181068,181797,78650,211170,238043,446283,71985,140974,78230,165208,409385,125663,121878,193207,176742
2020,2758775,249652,160650,155879,72847,190515,203608,385342,65411,131472,69323,148878,370962,109140,111404,173463,160229
2021,3058325,263423,182486,167564,84729,204446,234222,422770,70963,144768,79015,165955,415056,112176,130689,205088,174975
2022,3070083,264596,181754,166202,85687,201825,245341,434942,72655,141422,74860,175803,412020,109335,121282,212886,169473
2023,2780277,236487,164271,151415,85413,174902,231909,384368,67255,123633,68883,164661,367383,107423,107752,194498,150024
