REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,4.9,5.8,7.7,8.7,9.6,9.8,10.1,10.9,11.9,13.1,13.6,14.6,15.6,16.2,16.6
Dolnośląskie,10.6,11.8,14.1,14.1,14.3,14.3,14.3,16.8,21.3,21.3,21.3,21.9,21.9,23.7,24.6
Kujawsko-Pomorskie,3.8,6.8,7.5,10.0,11.1,11.1,11.1,11.1,11.1,13.3,15.2,15.2,17.6,17.6,17.6
Lubelskie,0.2,0.2,0.5,1.9,3.2,3.2,3.5,3.5,4.0,5.4,5.8,8.3,9.2,9.2,9.2
Lubuskie,4.2,10.6,10.6,13.9,16.6,16.6,16.9,16.9,18.4,18.4,18.4,18.4,20.0,22.0,22.0
Łódzkie,4.2,4.2,15.4,16.1,22.2,22.2,24.7,24.7,24.7,24.7,24.7,27.3,27.9,28.7,28.7
Małopolskie,6.7,6.7,10.5,10.4,11.4,11.4,11.4,11.7,11.7,12.0,12.5,13.4,13.6,14.8,15.9
Mazowieckie,3.5,3.8,5.9,6.8,6.7,7.2,7.2,8.2,9.9,11.6,13.1,13.6,15.7,16.4,17.8
Opolskie,9.4,9.3,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,11.9,11.9
Podkarpackie,0.0,0.0,0.7,5.7,6.9,6.9,9.2,10.2,10.2,10.2,10.2,12.7,13.1,13.1,13.1
Podlaskie,0.0,0.0,0.5,1.6,1.6,2.3,3.0,3.0,4.5,5.1,5.4,8.1,10.0,10.0,10.0
Pomorskie,6.6,6.6,7.5,7.5,7.5,7.5,7.5,7.5,9.2,9.2,9.2,9.2,11.4,10.7,10.7
Śląskie,17.0,19.8,23.1,23.1,23.7,24.9,24.8,24.9,24.9,28.1,29.5,29.5,31.1,31.1,31.6
Świętokrzyskie,2.5,4.6,4.6,4.9,4.9,4.9,4.9,6.6,8.1,9.0,9.0,9.0,9.0,9.0,9.0
Warmińsko-Mazurskie,2.4,3.0,5.8,5.8,5.8,5.8,6.1,8.7,9.2,10.0,10.0,10.7,11.9,12.9,13.4
Wielkopolskie,8.0,8.3,10.1,11.0,12.0,12.1,12.1,13.5,14.6,16.0,16.0,16.3,16.3,16.3,16.3
Zachodniopomorskie,6.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.8,13.8,14.7,14.7,17.0,17.2
