REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,13.8,12.8,12.9,13.3,13.3,14.0,14.7,14.7,15.7,14.4,15.1,18.2,20.2,,20.6
Dolnośląskie,14.0,14.0,15.4,15.2,15.7,15.2,14.5,15.2,14.0,14.3,17.2,17.7,21.4,,19.0
Kujawsko-Pomorskie,14.1,13.2,12.4,10.1,10.9,11.6,13.1,12.7,14.1,13.5,12.5,18.1,20.3,,18.7
Lubelskie,15.1,16.7,12.2,12.1,17.4,14.5,15.0,13.8,19.1,11.4,15.4,18.8,24.2,,22.5
Lubuskie,11.5,10.6,13.1,14.9,11.7,11.2,15.5,12.0,12.9,12.3,13.6,14.0,19.6,,13.6
Łódzkie,10.0,9.5,10.9,12.6,10.7,12.5,12.2,12.2,11.4,15.0,15.5,15.5,21.5,,19.9
Małopolskie,13.7,14.7,13.2,13.6,12.7,14.5,16.9,17.3,14.6,15.6,16.1,19.8,19.4,,21.6
Mazowieckie,13.4,11.7,12.3,14.4,14.7,15.3,16.6,15.2,19.2,15.8,17.2,21.0,21.5,,21.9
Opolskie,15.5,16.2,16.2,15.7,16.3,16.4,16.0,17.5,21.9,17.7,12.4,17.1,20.3,,22.7
Podkarpackie,16.1,16.6,14.4,15.8,14.8,14.4,19.7,15.9,23.8,18.6,19.1,26.2,22.5,,23.3
Podlaskie,13.9,11.3,19.3,17.3,13.1,14.5,15.3,13.2,14.1,22.6,19.5,21.3,22.7,,22.7
Pomorskie,12.6,12.0,9.8,12.6,12.9,12.7,13.7,15.1,14.8,14.0,15.7,19.2,22.4,,22.5
Śląskie,17.3,13.3,16.1,12.2,16.6,15.8,15.6,15.0,16.3,14.0,14.6,19.0,18.9,,20.2
Świętokrzyskie,13.1,12.5,13.1,12.6,9.5,10.9,12.8,15.8,16.8,13.6,12.0,16.8,14.3,,19.4
Warmińsko-Mazurskie,14.8,11.6,11.6,13.7,11.5,13.5,10.5,11.2,15.2,12.8,13.6,15.9,20.5,,20.7
Wielkopolskie,13.3,13.3,9.6,12.3,10.2,13.3,13.0,15.1,14.9,12.8,12.2,15.0,19.0,,20.1
Zachodniopomorskie,12.8,9.3,12.6,12.5,13.5,13.2,11.5,14.4,8.9,8.8,12.9,12.3,15.4,,17.9
