REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Polska,przyjazdy,493249,474154,372834,302421,232736,284915,334020,279852,330941,351775,176029,275628,257955,261424,353616,303091
Dolnośląskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Kujawsko-Pomorskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubelskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubuskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Łódzkie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Małopolskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Mazowieckie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Opolskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podkarpackie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podlaskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Pomorskie,przyjazdy,459871,409138,320857,246262,203541,255975,309186,257498,291245,283624,159427,245146,184547,191494,275118,221677
Śląskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Świętokrzyskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Warmińsko-Mazurskie,przyjazdy,2462,33586,31770,33090,28044,28269,24560,21924,30704,33241,14461,24352,20703,22534,30976,23114
Wielkopolskie,przyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Zachodniopomorskie,przyjazdy,30916,31430,20207,23069,1151,671,274,430,8992,34910,2141,6130,52705,47396,47522,58300
Polska,wyjazdy,485152,474731,372768,301883,233889,285054,334120,279520,330602,351685,175421,276413,262425,256157,346671,299556
Dolnośląskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Kujawsko-Pomorskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubelskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubuskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Łódzkie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Małopolskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Mazowieckie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Opolskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podkarpackie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podlaskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Pomorskie,wyjazdy,451683,408753,320668,245653,204241,256432,309391,256374,290114,285119,159127,246593,180857,191148,271805,221534
Śląskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Świętokrzyskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Warmińsko-Mazurskie,wyjazdy,2471,33071,31891,33159,28495,27957,24439,22710,31509,31597,14439,23676,27069,22153,30984,23142
Wielkopolskie,wyjazdy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Zachodniopomorskie,wyjazdy,30998,32907,20209,23071,1153,665,290,436,8979,34969,1855,6144,54499,42856,43882,54880
